open_time,open,high,low,close,volume,quote_volume
1600844400000,3.93,4.4124,3.8728,4.09,1668350.0,6755295.4003
1600848000000,4.0848,4.3151,3.9801,4.2278,1115225.0,4630451.9692
1600851600000,4.2237,4.2272,4.0563,4.203,618779.0,2561752.5392
1600855200000,4.2039,4.3368,4.0814,4.2245,854303.0,3574152.5425
1600858800000,4.2251,4.3797,4.11,4.1785,740321.0,3137489.7906
1600862400000,4.1807,4.395,4.031,4.2901,845244.0,3546735.9697
1600866000000,4.29,4.6092,4.245,4.4083,1230540.0,5485032.5615
1600869600000,4.4129,4.4527,4.1562,4.2145,764520.0,3275499.5623
1600873200000,4.2154,4.2736,4.027,4.1002,738453.0,3055523.8984
1600876800000,4.108,4.2768,4.0751,4.2754,732734.0,3050234.9305
1600880400000,4.2754,4.331,4.115,4.156,570260.0,2397900.72
1600884000000,4.1571,4.275,3.966,3.9683,560770.0,2322066.151
1600887600000,3.9683,4.0785,3.6374,3.7149,1188162.0,4503795.7116
1600891200000,3.7155,3.9082,3.3778,3.5468,919618.0,3343653.4907
1600894800000,3.5468,3.6173,3.424,3.5539,696833.0,2452508.2024
1600898400000,3.5542,3.6899,3.4582,3.5673,545453.0,1942324.3568
1600902000000,3.5706,3.6261,3.424,3.5136,499701.0,1749464.7397
1600905600000,3.5123,3.6206,3.4171,3.5534,486486.0,1712891.0471
1600909200000,3.5521,3.74,3.5452,3.6229,371793.0,1360130.1351
1600912800000,3.624,3.833,3.594,3.7141,493458.0,1840245.9039
1600916400000,3.7127,3.82,3.6894,3.7311,364570.0,1369174.2883
1600920000000,3.731,3.7735,3.565,3.5935,348188.0,1269717.8889
1600923600000,3.5958,3.666,3.5201,3.6124,366038.0,1310844.7431
1600927200000,3.6098,3.7645,3.6097,3.6706,345905.0,1273268.0893
1600930800000,3.6705,3.9339,3.6705,3.8357,547091.0,2081492.6967
1600934400000,3.8313,4.2199,3.8303,4.0975,775915.0,3129543.1564
1600938000000,4.0988,4.2041,3.8539,4.0233,822818.0,3301858.9694
