open_time,open,high,low,close,volume,quote_volume
1581321600000,25.07,25.907,24.78,25.053,302773.53,7703234.67716
1581325200000,25.054,25.054,24.1,24.65,93888.13,2305673.2484
1581328800000,24.653,24.898,24.031,24.816,93315.4,2283936.4712
1581332400000,24.819,24.89,24.262,24.555,76560.51,1876227.39948
1581336000000,24.554,25.079,24.38,24.907,84379.44,2086423.47745
1581339600000,24.893,25.401,24.891,25.048,134892.72,3389155.25738
1581343200000,25.047,25.2,24.7,24.899,97969.95,2444097.30494
1581346800000,24.894,25.295,24.889,25.113,84963.91,2135756.84881
1581350400000,25.105,25.55,25.105,25.23,105287.17,2671489.03902
1581354000000,25.23,25.5,25.066,25.464,68290.29,1723038.10852
1581357600000,25.463,25.486,25.273,25.273,38779.32,985493.83538
1581361200000,25.28,25.503,25.263,25.411,41983.85,1066285.16096
1581364800000,25.411,25.636,25.383,25.383,40500.68,1033413.3588
1581368400000,25.383,25.41,25.2,25.322,37328.05,944872.1575
1581372000000,25.322,25.339,24.923,25.123,50307.18,1264023.08893
1581375600000,25.123,25.462,25.123,25.189,53871.73,1363012.6189
1581379200000,25.19,25.264,24.8,24.941,109972.8,2752234.42625
1581382800000,24.966,25.136,24.895,24.967,56539.23,1412437.62295
1581386400000,24.967,25.131,24.55,24.666,67344.62,1671518.73414
1581390000000,24.666,24.89,24.479,24.722,97342.86,2400715.14057
1581393600000,24.718,24.722,24.35,24.389,74331.86,1822709.9687
1581397200000,24.381,24.571,24.375,24.375,58706.58,1434829.49308
1581400800000,24.376,24.563,24.25,24.331,67720.0,1651757.91896
1581404400000,24.33,24.56,24.28,24.53,48743.18,1190245.7969
1581408000000,24.53,24.823,24.475,24.801,39530.6,971385.13252
1581411600000,24.803,25.18,24.761,24.852,101457.95,2527162.09934
1581415200000,24.851,25.0,24.725,24.963,58515.34,1455879.92067
1581418800000,24.963,25.0,24.725,24.975,46222.8,1150557.35655
1581422400000,24.974,25.332,24.952,25.145,76441.31,1924921.82425
1581426000000,25.146,25.243,24.9,24.954,40260.31,1010681.41265
1581429600000,24.955,25.111,24.81,24.81,54153.07,1351602.86576
1581433200000,24.814,25.29,24.814,25.094,165346.19,4149686.75201
1581436800000,25.081,25.25,24.825,25.117,179263.06,4492933.97344
1581440400000,25.116,25.864,25.116,25.782,96331.67,2456165.90934
1581444000000,25.781,25.804,25.278,25.32,111902.31,2859437.66894
1581447600000,25.332,25.6,25.298,25.6,50534.59,1284835.93723
1581451200000,25.599,25.641,25.395,25.527,55314.8,1412086.52935
1581454800000,25.523,25.535,25.266,25.366,48172.78,1223305.81354
1581458400000,25.358,25.55,25.305,25.549,39243.87,998623.43147
1581462000000,25.543,25.75,25.541,25.705,39670.21,1017072.46469
1581465600000,25.705,25.977,25.605,25.89,48412.22,1247905.71285
1581469200000,25.885,25.921,25.666,25.671,64186.6,1655938.13279
1581472800000,25.671,25.678,25.347,25.605,62934.09,1606684.57211
1581476400000,25.628,25.693,25.491,25.626,39675.94,1016087.20703
1581480000000,25.626,25.817,25.626,25.723,52496.77,1350469.76928
1581483600000,25.721,25.727,25.55,25.689,42947.26,1100721.75025
1581487200000,25.684,25.685,25.5,25.568,35460.31,907542.06517
1581490800000,25.568,26.087,25.499,25.918,88597.68,2284978.41701
1581494400000,25.918,25.971,25.697,25.819,58851.49,1518214.62378
1581498000000,25.824,25.859,25.55,25.713,44338.29,1138812.17931
1581501600000,25.686,25.823,25.611,25.73,34240.06,880850.01094
1581505200000,25.735,25.955,25.729,25.862,47616.74,1229908.92762
1581508800000,25.869,25.879,25.599,25.6,57835.26,1486817.7696
1581512400000,25.596,25.871,25.5,25.819,66616.67,1710327.32972
1581516000000,25.821,25.918,25.391,25.615,61579.21,1579237.93055
1581519600000,25.615,25.635,25.373,25.518,47959.55,1223423.25544
1581523200000,25.518,25.71,25.494,25.601,37823.52,967576.12903
1581526800000,25.578,25.694,25.473,25.584,39863.38,1019671.4069
1581530400000,25.584,25.758,25.531,25.754,40136.83,1029428.32644
1581534000000,25.754,25.8,25.693,25.763,31109.08,800963.11164
1581537600000,25.765,25.9,25.751,25.77,38813.72,1002478.18567
1581541200000,25.77,26.665,25.631,26.633,116695.61,3042302.70565
1581544800000,26.642,26.98,26.555,26.82,83576.85,2236744.00862
1581548400000,26.833,26.887,26.18,26.451,69518.34,1848080.78491
1581552000000,26.452,27.397,26.285,27.2,69940.51,1883250.89104
1581555600000,27.2,27.288,26.844,27.07,55384.64,1499192.12906
1581559200000,27.069,27.07,26.713,26.741,54311.93,1460828.07646
1581562800000,26.741,26.88,26.44,26.466,66995.8,1786671.32764
1581566400000,26.466,26.822,26.466,26.511,37913.32,1010541.83304
