open_time,open,high,low,close,volume,quote_volume
1577836800000,129.12,129.12,128.62,128.82,14947.691,1925643.61904
1577840400000,128.81,130.61,128.76,130.57,34755.256,4514483.5812
1577844000000,130.58,130.97,130.3,130.8,21864.946,2857377.66035
1577847600000,130.8,130.82,129.88,130.09,16823.171,2190835.34416
1577851200000,130.1,130.63,130.09,130.15,11357.239,1480318.82251
1577854800000,130.15,130.37,130.05,130.23,7851.208,1022470.85041
1577858400000,130.23,130.67,130.21,130.36,12698.171,1656415.14384
1577862000000,130.36,130.6,130.0,130.17,14907.105,1942037.23612
1577865600000,130.15,130.24,129.75,130.24,14712.157,1912017.90765
1577869200000,130.24,130.49,130.01,130.03,7567.51,985720.44641
1577872800000,130.02,130.68,129.97,130.59,12393.915,1615959.62319
1577876400000,130.59,131.88,130.5,130.64,35693.375,4683276.29012
1577880000000,130.63,131.58,130.63,131.53,15314.035,2008066.04006
1577883600000,131.57,131.97,131.18,131.55,15767.101,2074315.66068
1577887200000,131.55,132.24,131.16,131.82,21989.252,2899058.69886
1577890800000,131.87,132.49,131.52,131.97,22613.919,2983434.15559
1577894400000,132.0,132.9,131.71,132.79,26228.975,3466593.19304
1577898000000,132.8,132.96,132.22,132.31,23039.829,3053311.84078
1577901600000,132.31,132.38,131.45,131.94,17695.871,2334762.11107
1577905200000,131.94,132.04,131.53,131.79,11759.809,1549616.05263
1577908800000,131.79,132.18,131.6,132.09,14358.92,1894212.29117
1577912400000,132.09,132.25,131.57,131.77,18456.592,2435027.95156
1577916000000,131.77,131.77,129.8,130.21,45005.5,5874611.1165
1577919600000,130.21,130.78,129.54,130.62,28262.382,3677992.76734
1577923200000,130.63,130.75,130.2,130.6,15892.61,2072878.98118
1577926800000,130.61,130.61,130.09,130.17,13015.26,1696085.95489
1577930400000,130.13,130.13,128.86,129.7,38688.044,5008722.46878
1577934000000,129.7,129.7,128.75,129.09,23757.32,3069374.11323
1577937600000,129.07,129.83,128.67,129.55,28032.828,3627201.48923
1577941200000,129.54,129.71,129.3,129.58,12684.201,1642345.71536
1577944800000,129.58,129.96,129.15,129.39,11052.361,1432389.94633
1577948400000,129.39,129.65,128.96,129.28,23377.733,3021933.62673
1577952000000,129.2,130.22,129.17,130.14,19059.405,2474922.44059
1577955600000,130.14,130.15,129.57,129.96,16525.189,2144499.83423
1577959200000,129.92,130.24,129.61,129.66,19073.926,2478355.37191
1577962800000,129.65,129.87,129.32,129.48,14682.568,1902625.33309
1577966400000,129.47,129.94,129.45,129.88,13974.15,1812480.76193
1577970000000,129.89,129.95,128.79,129.31,24088.025,3115358.25126
1577973600000,129.31,129.87,129.11,129.3,24048.495,3111624.25506
1577977200000,129.3,129.64,129.26,129.48,12979.273,1680404.13747
1577980800000,129.5,129.65,126.79,127.45,74728.673,9561010.98315
1577984400000,127.45,127.6,126.25,127.36,67653.23,8583734.72658
1577988000000,127.38,127.63,127.07,127.46,13454.653,1713642.12212
1577991600000,127.44,127.56,127.05,127.53,14985.382,1907795.17764
1577995200000,127.53,127.55,126.7,127.11,16137.423,2051241.23057
1577998800000,127.11,127.79,127.11,127.65,8499.159,1083011.89043
1578002400000,127.65,127.65,127.22,127.29,5568.846,708998.71872
1578006000000,127.32,127.41,126.86,127.11,11624.17,1477333.31454
1578009600000,127.11,127.51,126.75,127.0,16609.221,2110404.41027
1578013200000,126.99,127.08,125.78,125.96,19971.062,2524656.71331
1578016800000,125.96,127.01,125.8,126.91,23903.653,3024929.21333
1578020400000,126.9,127.0,126.59,126.76,8096.512,1026301.63661
1578024000000,126.81,130.18,126.81,129.23,102989.591,13264392.28073
1578027600000,129.23,129.95,128.69,129.18,32311.229,4174432.92771
1578031200000,129.18,129.31,128.75,129.16,20776.304,2680946.46453
1578034800000,129.15,129.43,128.69,128.82,24113.917,3112507.54217
1578038400000,128.84,132.97,128.66,132.11,113733.546,14903248.14124
1578042000000,132.12,132.81,131.66,132.32,47668.575,6300103.35945
1578045600000,132.31,132.66,131.48,132.0,37473.557,4946929.03136
1578049200000,132.0,132.53,131.83,132.42,21476.944,2838629.14399
1578052800000,132.4,132.8,131.87,132.19,24560.354,3250430.2675
1578056400000,132.19,133.95,132.19,133.47,36045.677,4793050.38118
1578060000000,133.48,133.78,130.94,131.59,67475.896,8901482.68062
1578063600000,131.62,132.47,131.57,132.45,21778.628,2872122.2441
1578067200000,132.48,133.74,131.92,133.4,76657.809,10191478.51714
1578070800000,133.4,134.94,132.66,133.93,63250.414,8454200.15994
1578074400000,133.92,134.16,133.17,133.45,36637.17,4897568.30208
1578078000000,133.42,133.48,132.17,133.41,37046.84,4924200.68225
1578081600000,133.42,133.98,132.96,133.39,26841.389,3582962.4082
1578085200000,133.39,133.84,132.21,132.44,26764.338,3559504.76511
1578088800000,132.44,133.35,132.15,133.0,16553.192,2196069.68173
1578092400000,133.02,135.07,132.87,134.29,48387.779,6488377.08622
1578096000000,134.31,134.73,133.38,133.63,27508.789,3684615.5859
1578099600000,133.63,133.63,132.75,132.97,19071.612,2537376.21486
1578103200000,132.98,133.41,132.74,133.41,15459.079,2056233.99351
1578106800000,133.41,133.47,133.11,133.25,15655.292,2086722.63191
1578110400000,133.25,133.84,132.88,133.63,20311.249,2709230.00322
1578114000000,133.6,134.0,133.41,133.65,18574.425,2483157.13277
1578117600000,133.65,134.2,133.59,133.89,18920.309,2533164.00557
1578121200000,133.88,134.21,133.3,133.84,19567.045,2618774.06391
1578124800000,133.84,134.04,133.42,133.55,15685.305,2097482.28577
1578128400000,133.55,134.08,133.34,134.05,21806.512,2915528.50303
1578132000000,134.06,134.1,133.3,133.32,21292.373,2848996.56327
1578135600000,133.35,133.77,132.95,133.71,19257.449,2569652.56623
1578139200000,133.71,133.71,132.41,132.71,18795.141,2501696.86934
1578142800000,132.73,133.2,132.52,132.84,18235.436,2423375.81912
1578146400000,132.83,133.3,132.81,133.04,10676.306,1420530.06976
1578150000000,133.03,133.56,132.9,133.21,13516.398,1801382.76655
1578153600000,133.19,133.38,132.91,133.1,13378.947,1781488.76196
1578157200000,133.1,134.8,133.05,134.51,33333.711,4470736.01651
1578160800000,134.52,135.8,132.7,133.45,79866.77,10721849.24419
1578164400000,133.44,134.24,133.04,133.65,36319.013,4852223.62986
1578168000000,133.66,134.1,133.38,134.01,18413.579,2463127.12483
1578171600000,134.01,134.51,133.65,134.03,17378.845,2331035.49704
1578175200000,134.06,134.33,133.8,134.07,8611.225,1154167.58159
1578178800000,134.07,134.34,133.71,134.14,8143.298,1091383.48157
1578182400000,134.14,135.22,134.12,134.74,35064.21,4721454.47601
1578186000000,134.73,135.82,134.68,135.56,44337.261,6002924.3776
1578189600000,135.57,135.96,135.08,135.42,19454.162,2635820.30066
1578193200000,135.43,136.17,135.43,136.1,16554.005,2247734.78071
1578196800000,136.1,137.25,135.56,135.84,43064.046,5866174.77078
1578200400000,135.83,136.39,135.6,136.1,17767.181,2415474.16866
1578204000000,136.1,136.49,135.79,136.04,16278.641,2214909.40837
1578207600000,136.04,136.23,135.76,135.98,12766.922,1736033.0195
1578211200000,135.99,136.18,134.9,135.33,24409.449,3307854.65877
1578214800000,135.33,135.57,134.84,135.26,23813.346,3220130.43154
1578218400000,135.25,135.4,134.63,134.86,13772.826,1859517.73213
1578222000000,134.86,135.34,134.75,135.03,11397.851,1538951.17081
1578225600000,135.03,135.85,135.02,135.84,20049.938,2716275.66486
1578229200000,135.84,135.88,135.18,135.56,15966.758,2164398.81951
1578232800000,135.57,135.82,135.46,135.56,9160.547,1242866.53808
1578236400000,135.56,137.86,135.46,137.14,55714.466,7630193.63227
1578240000000,137.16,137.99,136.5,137.08,45505.759,6251961.82346
1578243600000,137.07,138.17,136.66,137.74,33127.557,4554024.68374
1578247200000,137.76,137.99,136.83,137.72,24442.858,3357680.62803
1578250800000,137.72,137.9,137.28,137.87,18452.299,2538753.76521
1578254400000,137.86,137.94,137.4,137.77,13832.766,1904825.97489
1578258000000,137.76,137.76,134.79,135.31,80907.588,11005970.41445
1578261600000,135.26,135.92,134.27,134.97,37609.134,5076485.33073
1578265200000,134.99,135.42,134.16,135.33,36228.117,4888180.85401
1578268800000,135.32,135.67,134.82,135.63,26199.219,3543501.48853
1578272400000,135.63,137.46,135.36,137.18,39580.665,5392799.08122
1578276000000,137.14,139.49,137.14,139.03,105901.165,14676306.05844
1578279600000,139.13,139.62,138.17,139.41,61256.699,8505765.50336
1578283200000,139.42,139.68,139.01,139.33,28036.976,3907496.86328
1578286800000,139.33,139.5,138.47,139.07,23821.259,3309235.81613
1578290400000,139.08,139.22,138.77,138.83,13268.827,1844460.68382
1578294000000,138.85,139.06,138.72,138.79,11297.345,1568998.49802
1578297600000,138.79,140.81,138.75,140.49,46553.379,6508570.50834
1578301200000,140.5,140.76,139.7,140.76,38505.577,5397868.90178
1578304800000,140.75,142.48,140.54,141.91,60293.411,8530608.06482
1578308400000,141.91,142.99,140.8,141.5,64838.244,9194582.03225
1578312000000,141.48,142.61,141.41,142.22,40050.576,5684775.08384
1578315600000,142.2,143.0,139.02,140.13,97231.021,13745062.04848
1578319200000,140.21,141.42,139.59,140.99,63549.483,8941448.16754
1578322800000,141.0,141.32,139.97,140.14,33206.339,4671708.26239
1578326400000,140.14,141.26,139.97,140.58,42130.876,5928466.92415
1578330000000,140.58,141.8,140.46,141.77,41369.29,5839083.76292
1578333600000,141.76,141.8,140.62,140.98,24174.679,3413175.98267
1578337200000,141.0,141.56,140.81,141.29,16642.644,2349436.45189
1578340800000,141.32,142.43,141.23,142.11,24934.266,3534909.30038
1578344400000,142.13,142.5,141.38,141.61,43363.406,6161659.96008
1578348000000,141.53,143.67,141.49,142.97,62279.137,8888461.25134
1578351600000,142.97,144.38,142.57,144.04,86662.683,12455081.34392
1578355200000,144.11,145.25,143.13,143.7,85710.913,12379469.06412
1578358800000,143.72,144.14,143.36,143.86,28808.86,4140292.70413
1578362400000,143.85,144.84,143.76,143.93,23936.803,3454882.05742
1578366000000,143.96,144.38,143.48,143.48,15685.083,2256231.28134
1578369600000,143.49,143.61,142.06,142.5,32250.787,4602887.181
1578373200000,142.48,143.07,142.08,142.96,15573.061,2221130.74068
1578376800000,142.95,143.23,142.49,142.78,15637.317,2233576.90555
1578380400000,142.81,143.06,142.45,142.8,11450.978,1634313.52368
1578384000000,142.82,143.38,142.82,143.14,19737.824,2824410.66995
1578387600000,143.14,143.45,142.44,142.53,16791.998,2400656.3294
1578391200000,142.54,142.88,142.39,142.84,14484.499,2066109.00863
1578394800000,142.83,143.74,142.58,142.63,35874.005,5136459.86448
1578398400000,142.64,142.64,140.61,141.12,52537.215,7441666.23402
1578402000000,141.11,141.23,140.07,140.94,43265.779,6081944.38333
1578405600000,140.93,141.32,140.51,140.8,19179.018,2703696.75024
1578409200000,140.78,140.82,138.78,139.46,64338.437,8989140.19361
1578412800000,139.45,141.84,138.7,141.28,64453.368,9076307.57029
1578416400000,141.28,142.94,141.01,142.74,58752.869,8355632.36028
1578420000000,142.69,143.64,142.3,142.46,62133.625,8881296.36814
1578423600000,142.43,144.02,142.3,143.2,101819.027,14585045.34073
1578427200000,143.18,144.8,142.92,144.74,51920.015,7470789.99449
1578430800000,144.75,145.02,141.99,142.49,60848.661,8726454.46949
1578434400000,142.46,143.0,141.32,142.24,32238.989,4580711.70494
1578438000000,142.24,143.93,142.24,142.86,35902.374,5141088.85178
1578441600000,142.86,147.94,142.76,147.51,114325.611,16545363.71375
1578445200000,147.51,147.82,145.27,145.64,75653.758,11081778.25746
1578448800000,145.64,146.4,144.12,144.53,37581.131,5465842.05248
1578452400000,144.53,145.09,143.73,144.56,36153.276,5224607.95068
1578456000000,144.55,145.26,144.55,145.0,22425.119,3252180.22804
1578459600000,145.0,145.26,144.51,144.79,29760.591,4310505.54819
1578463200000,144.79,145.19,144.58,145.12,29778.041,4314950.43369
1578466800000,145.12,145.17,142.58,143.59,49896.437,7179947.56599
1578470400000,143.55,144.07,142.95,143.85,32114.342,4609370.33176
1578474000000,143.86,144.03,143.01,143.32,26638.928,3820421.72663
1578477600000,143.32,144.5,143.06,143.91,33590.668,4833324.31336
1578481200000,143.92,144.45,143.42,143.52,27938.319,4022112.97219
1578484800000,143.52,143.66,142.0,142.36,40740.414,5825918.71809
1578488400000,142.35,143.5,140.67,143.06,87630.517,12455839.08061
1578492000000,143.06,143.06,140.83,142.02,60966.024,8652146.4041
1578495600000,142.04,142.3,140.4,141.47,62739.884,8866722.94169
1578499200000,141.45,141.91,137.95,138.9,119800.295,16732725.52722
1578502800000,138.96,139.37,137.63,138.77,73038.38,10125409.7018
1578506400000,138.77,140.0,138.55,139.4,37839.96,5267251.88664
1578510000000,139.41,139.74,137.9,137.9,48423.683,6717594.01678
1578513600000,137.91,139.61,137.15,139.17,65231.293,9020869.14694
1578517200000,139.17,139.76,138.61,139.19,36105.047,5026815.92049
1578520800000,139.19,140.65,138.64,140.45,24864.294,3464277.94283
1578524400000,140.45,141.51,140.04,140.75,34897.754,4917922.41145
1578528000000,140.76,140.8,139.49,139.85,49863.01,6978228.03182
1578531600000,139.85,141.52,139.71,140.98,36342.598,5112666.38143
1578535200000,140.96,141.13,140.29,140.41,26613.423,3744378.21355
1578538800000,140.41,140.41,139.46,139.93,31141.011,4357123.94991
1578542400000,139.93,140.38,139.58,139.98,30029.786,4203292.52927
1578546000000,139.97,139.97,138.64,139.12,33833.955,4710903.61805
1578549600000,139.12,139.74,138.67,139.38,33110.214,4614442.53831
1578553200000,139.35,140.21,139.26,139.91,32002.426,4477857.34239
1578556800000,139.93,140.09,138.96,139.34,28371.363,3962402.17806
1578560400000,139.34,139.34,137.6,138.24,59107.097,8177539.43756
1578564000000,138.26,139.1,137.6,138.82,38752.477,5370932.05842
1578567600000,138.82,138.82,137.74,138.21,34447.183,4762391.46546
1578571200000,138.21,138.55,137.89,138.48,27952.158,3865528.34225
1578574800000,138.45,138.9,138.17,138.22,25423.556,3522430.73878
1578578400000,138.22,138.6,137.68,137.77,24320.785,3362680.55624
1578582000000,137.77,138.65,137.69,138.12,21033.726,2906452.63664
1578585600000,138.13,138.45,135.33,135.87,74260.274,10128963.07879
1578589200000,135.86,136.38,135.57,135.99,42203.213,5737778.52547
1578592800000,135.99,136.25,135.62,135.87,25433.109,3456792.26548
1578596400000,135.87,138.0,135.82,137.53,54823.833,7511162.5301
1578600000000,137.49,139.33,137.28,137.71,88785.648,12299265.87741
1578603600000,137.71,137.84,136.59,136.98,62944.338,8640274.66931
1578607200000,136.98,138.07,136.73,137.61,32911.467,4520923.69437
1578610800000,137.58,138.45,136.03,137.73,43157.563,5924809.18064
1578614400000,137.73,137.99,137.06,137.19,24875.219,3422571.05272
1578618000000,137.17,137.43,136.68,136.91,22645.0,3102584.26424
1578621600000,136.93,137.19,136.31,136.53,27515.651,3763593.02036
1578625200000,136.51,136.95,136.32,136.94,22893.708,3128932.64144
1578628800000,136.97,137.07,136.05,136.34,24050.998,3281309.46117
1578632400000,136.34,136.41,135.22,135.7,26610.592,3616522.81612
1578636000000,135.7,136.75,135.61,136.58,27080.454,3688549.39153
1578639600000,136.6,136.71,136.15,136.64,20494.771,2795626.9478
1578643200000,136.64,136.66,135.45,136.05,29585.673,4021161.81331
1578646800000,136.02,136.39,135.78,136.04,19411.709,2641305.6705
1578650400000,136.03,136.78,135.3,136.78,35884.289,4884827.32926
1578654000000,136.78,139.0,136.73,138.34,62702.21,8646038.56115
1578657600000,138.34,139.78,137.96,139.76,40487.397,5622820.58641
1578661200000,139.76,139.99,138.62,138.72,39340.436,5485655.83991
1578664800000,138.68,140.16,138.6,140.16,36754.834,5124733.77247
1578668400000,140.16,142.99,139.76,142.43,82068.416,11614461.8518
1578672000000,142.44,143.61,140.67,141.07,75377.833,10704773.64967
1578675600000,141.07,142.0,140.62,141.94,33135.501,4676830.94891
1578679200000,141.96,145.15,141.96,142.59,73678.024,10585242.95551
1578682800000,142.57,144.7,142.39,143.38,56771.045,8139843.06557
1578686400000,143.38,144.03,142.95,143.21,31725.077,4552921.9723
1578690000000,143.16,143.88,142.67,142.83,33395.133,4783115.91836
1578693600000,142.84,143.06,141.49,142.87,24375.946,3473093.88819
1578697200000,142.88,144.98,142.53,144.8,37518.333,5386750.48599
1578700800000,144.8,144.82,143.19,143.49,36464.535,5241901.11497
1578704400000,143.53,145.29,143.47,144.08,42520.658,6144800.1412
1578708000000,144.12,144.48,143.29,143.81,24743.266,3558348.75136
1578711600000,143.81,143.84,142.75,143.45,26261.296,3762975.30079
1578715200000,143.47,144.01,142.77,143.19,28583.81,4098034.98766
1578718800000,143.19,143.21,142.17,142.87,25117.921,3581193.09497
1578722400000,142.87,143.59,142.0,142.86,33796.575,4822367.20489
1578726000000,142.87,143.73,142.7,142.88,24762.954,3547137.90519
1578729600000,142.88,143.38,142.47,142.72,26963.146,3854886.94436
1578733200000,142.72,144.0,142.63,143.77,27583.886,3959183.57462
1578736800000,143.77,143.82,142.72,142.88,30810.875,4415848.66161
1578740400000,142.9,143.22,142.37,142.61,23275.38,3323861.25502
1578744000000,142.56,142.92,142.05,142.67,22800.181,3250417.3778
1578747600000,142.69,143.65,142.47,143.53,26584.532,3801680.75632
1578751200000,143.52,143.72,142.53,142.57,25404.193,3637111.43522
1578754800000,142.57,143.56,142.35,143.4,27882.13,3982749.80193
1578758400000,143.4,146.8,142.54,146.29,64991.765,9419835.86388
1578762000000,146.34,148.03,145.75,146.54,54131.247,7949976.82279
1578765600000,146.58,147.09,145.75,146.59,37179.13,5443877.58601
1578769200000,146.64,147.07,145.8,146.29,22569.492,3306397.55939
1578772800000,146.25,147.11,145.13,145.87,34663.193,5063755.75007
1578776400000,145.88,147.81,143.0,143.78,77296.368,11251132.12636
1578780000000,143.82,144.25,142.15,143.31,50990.598,7303854.97992
1578783600000,143.31,143.44,142.35,142.4,36786.073,5255864.63799
1578787200000,142.4,143.69,141.71,143.29,37789.611,5391406.07239
1578790800000,143.25,144.0,142.9,143.25,29986.567,4303147.30729
1578794400000,143.25,144.48,143.05,144.09,25873.899,3723291.98878
1578798000000,144.09,144.51,143.52,143.98,23110.316,3327394.1574
1578801600000,143.99,144.2,143.37,143.57,20124.339,2895511.79621
1578805200000,143.61,144.16,143.5,144.11,16958.376,2439592.39833
1578808800000,144.11,145.89,144.08,144.28,38597.07,5598377.55387
1578812400000,144.25,144.97,144.24,144.54,24287.639,3512237.85328
1578816000000,144.54,145.42,144.51,144.86,26714.638,3871579.33044
1578819600000,144.86,145.08,144.11,144.42,26389.035,3815895.64801
1578823200000,144.42,144.44,143.21,143.53,29642.265,4261538.77085
1578826800000,143.55,143.81,143.3,143.42,20853.376,2993940.94504
1578830400000,143.45,144.24,143.41,143.72,25724.812,3697251.25766
1578834000000,143.73,145.28,143.37,145.12,34912.756,5032883.9678
1578837600000,145.12,145.42,143.68,144.24,34281.482,4954203.12694
1578841200000,144.2,145.19,144.14,144.99,23539.613,3404646.98428
1578844800000,144.99,145.56,143.77,143.95,29735.722,4295604.98635
1578848400000,143.94,145.68,143.6,144.2,36849.365,5327245.1196
1578852000000,144.22,144.81,144.22,144.64,18408.302,2661471.6021
1578855600000,144.64,145.01,144.26,144.46,21197.972,3066347.22741
1578859200000,144.42,144.96,144.42,144.69,19083.499,2762011.60973
1578862800000,144.74,144.86,144.3,144.41,16076.345,2325754.29881
1578866400000,144.38,145.48,144.34,145.38,21184.65,3070695.98124
1578870000000,145.39,146.6,144.72,146.57,28935.262,4209128.26487
1578873600000,146.57,147.0,144.69,145.03,38734.122,5649775.43372
1578877200000,145.03,145.47,144.93,145.39,16723.797,2426938.84266
1578880800000,145.36,145.5,142.53,142.92,36773.036,5304367.44652
1578884400000,142.97,143.87,142.65,143.44,24430.684,3500034.57678
1578888000000,143.44,144.07,143.05,143.87,17707.486,2542228.68348
1578891600000,143.87,143.91,143.12,143.41,15999.842,2296209.19054
1578895200000,143.41,143.79,142.38,142.48,21451.829,3072383.45632
1578898800000,142.44,143.26,142.32,142.89,20220.593,2889098.503
1578902400000,142.9,143.67,142.59,143.66,22972.021,3289491.80304
1578906000000,143.64,143.69,142.94,143.33,19716.376,2824408.37933
1578909600000,143.33,144.28,143.0,143.98,30701.329,4408779.33869
1578913200000,143.99,144.12,142.81,142.81,27405.299,3933218.67334
1578916800000,142.8,143.28,142.5,143.13,35394.931,5058803.00808
1578920400000,143.13,143.76,142.76,142.89,21051.02,3015886.95149
1578924000000,142.89,143.11,142.57,142.87,20567.865,2938066.56074
1578927600000,142.87,143.16,142.73,142.81,16411.209,2346295.55579
1578931200000,142.81,143.46,142.52,143.38,23337.157,3337261.57922
1578934800000,143.43,143.96,142.95,143.06,27441.339,3935636.56104
1578938400000,143.06,143.33,142.89,143.28,16503.087,2362192.35474
1578942000000,143.29,143.67,143.05,143.43,14522.385,2081968.64101
1578945600000,143.48,144.6,143.38,144.41,33724.583,4857975.93934
1578949200000,144.43,144.65,143.81,144.27,21649.891,3123660.34332
1578952800000,144.27,144.31,143.83,143.87,17462.378,2516661.77222
1578956400000,143.86,144.27,143.45,143.58,17753.413,2555401.99937
1578960000000,143.57,145.89,143.49,145.32,53568.968,7770056.34794
1578963600000,145.38,148.57,145.38,147.48,115310.96,16957433.19058
1578967200000,147.42,147.58,146.52,147.25,38577.952,5672089.61261
1578970800000,147.25,149.41,146.88,148.95,38132.953,5643217.73069
1578974400000,148.95,150.78,148.95,149.15,72826.921,10900123.77499
1578978000000,149.15,149.37,148.14,148.49,35508.827,5283127.08587
1578981600000,148.49,149.12,148.09,149.04,25154.791,3739586.04809
1578985200000,149.02,149.65,148.74,149.09,26163.327,3901531.67044
1578988800000,149.07,149.68,149.0,149.38,27862.433,4161622.41775
1578992400000,149.37,151.82,149.37,149.85,60590.084,9123718.43256
1578996000000,149.9,150.63,149.5,150.52,32824.543,4924113.37698
1578999600000,150.52,151.58,150.21,151.58,36979.992,5581448.60047
1579003200000,151.57,153.4,150.81,151.18,102188.959,15528567.41166
1579006800000,151.17,154.23,151.13,154.1,55355.511,8445162.6311
1579010400000,154.13,157.59,153.12,155.96,155233.75,24170678.96656
1579014000000,155.91,157.8,153.91,156.08,103643.315,16162835.03793
1579017600000,156.08,159.55,153.18,159.55,140204.483,21764111.92868
1579021200000,159.57,166.27,158.83,164.13,274718.344,44563648.48999
1579024800000,164.14,171.0,162.0,165.84,297350.131,49311476.38015
1579028400000,165.81,166.74,162.42,165.63,121910.475,20059954.32221
1579032000000,165.56,165.62,163.16,163.63,73755.944,12105577.2153
1579035600000,163.59,165.42,160.48,164.22,102942.341,16790941.63911
1579039200000,164.26,166.47,164.02,164.09,52365.162,8643419.49467
1579042800000,164.07,168.18,163.92,165.77,126389.248,20982894.13898
1579046400000,165.75,172.18,163.56,169.25,211932.507,35663554.10217
1579050000000,169.22,170.09,166.0,167.44,134442.49,22553477.46914
1579053600000,167.46,168.26,166.84,167.17,43178.791,7232485.8314
1579057200000,167.17,167.3,162.81,162.81,61449.741,10126935.28274
1579060800000,162.8,163.6,160.42,160.69,87052.473,14092934.20761
1579064400000,160.71,161.81,159.35,161.12,57202.625,9198178.5017
1579068000000,161.08,163.9,160.99,163.32,45115.277,7342072.43232
1579071600000,163.28,163.48,161.41,161.64,34520.471,5595275.59586
1579075200000,161.63,162.9,161.1,162.08,25016.395,4057321.71751
