open_time,open,high,low,close,volume,quote_volume
1579248000000,2.669,2.896,2.669,2.802,933524.86,2596506.12865
1579251600000,2.801,2.883,2.756,2.777,874866.25,2472559.11332
1579255200000,2.777,2.868,2.76,2.798,642343.89,1803857.76108
1579258800000,2.805,2.812,2.759,2.764,304110.91,848037.39138
1579262400000,2.764,2.781,2.66,2.703,566734.92,1537982.9715
1579266000000,2.703,2.734,2.673,2.715,386392.71,1048174.59067
1579269600000,2.715,2.728,2.658,2.669,466127.94,1254102.89185
1579273200000,2.669,2.743,2.661,2.725,410423.38,1108308.2389
1579276800000,2.725,2.759,2.709,2.736,729380.5,1997465.81383
1579280400000,2.725,2.762,2.698,2.738,382295.93,1044846.32613
1579284000000,2.732,2.772,2.725,2.762,403216.84,1107577.55165
1579287600000,2.762,2.777,2.592,2.679,690541.88,1868674.3292
1579291200000,2.679,2.71,2.652,2.684,392050.4,1053855.63784
1579294800000,2.685,2.707,2.655,2.673,287462.23,772458.96095
1579298400000,2.674,2.732,2.667,2.721,325897.04,877725.52386
1579302000000,2.721,2.754,2.69,2.696,378888.71,1033801.66644
1579305600000,2.696,2.799,2.675,2.757,489346.61,1342659.98925
1579309200000,2.757,2.768,2.696,2.715,361768.54,986078.41088
1579312800000,2.715,2.723,2.68,2.703,263662.71,711716.33808
1579316400000,2.697,2.721,2.685,2.706,319616.39,864667.76488
1579320000000,2.702,2.707,2.56,2.619,529234.73,1394629.09765
1579323600000,2.619,2.654,2.608,2.63,409290.1,1078851.28287
1579327200000,2.632,2.65,2.61,2.65,322349.71,848396.0904
1579330800000,2.647,2.672,2.63,2.635,285828.52,758012.71775
1579334400000,2.638,2.655,2.627,2.651,226020.46,596101.09238
1579338000000,2.651,2.738,2.65,2.711,442135.87,1193150.2599
1579341600000,2.712,2.777,2.691,2.733,430019.35,1177249.81276
1579345200000,2.732,2.746,2.69,2.719,283457.08,769572.69527
1579348800000,2.715,2.756,2.712,2.733,278018.0,759785.59722
1579352400000,2.736,2.779,2.73,2.745,374993.29,1033877.57114
1579356000000,2.748,2.751,2.708,2.717,350338.54,956245.84265
1579359600000,2.717,2.741,2.673,2.703,301481.17,817510.02436
1579363200000,2.698,2.724,2.654,2.697,319494.63,859677.78137
1579366800000,2.697,2.739,2.68,2.706,279513.82,757926.70635
1579370400000,2.704,2.727,2.7,2.713,217298.39,589555.3579
1579374000000,2.717,2.737,2.711,2.731,243137.81,661533.80401
1579377600000,2.735,2.753,2.717,2.734,257360.56,704552.61342
1579381200000,2.734,2.744,2.721,2.737,239804.01,655934.53002
1579384800000,2.739,2.765,2.724,2.765,269015.86,737185.26168
1579388400000,2.765,2.792,2.743,2.774,427796.26,1186039.91691
1579392000000,2.777,2.783,2.728,2.76,330372.96,911002.92336
1579395600000,2.759,2.816,2.741,2.768,479059.09,1335762.78903
1579399200000,2.774,2.797,2.738,2.787,286331.06,792821.87643
1579402800000,2.784,2.833,2.78,2.833,371541.56,1043916.71051
1579406400000,2.833,2.854,2.815,2.832,356627.72,1012011.3594
1579410000000,2.832,2.845,2.796,2.802,296492.09,836067.7438
1579413600000,2.802,2.833,2.789,2.809,349299.3,980954.66599
1579417200000,2.803,2.813,2.772,2.809,279984.72,781701.97145
