open_time,open,high,low,close,volume,quote_volume
1578556800000,45.32,45.77,45.07,45.22,9372.002,424461.6186
1578560400000,45.22,45.28,45.0,45.03,16223.56,732317.60403
1578564000000,45.02,45.42,44.84,45.08,12910.909,582956.27354
1578567600000,45.08,45.19,44.84,45.0,12225.69,550441.49831
1578571200000,44.99,45.19,44.91,45.16,10954.482,493769.01371
1578574800000,45.16,45.44,45.16,45.19,12675.635,574115.7871
1578578400000,45.19,45.32,44.93,45.0,12814.99,578496.10811
1578582000000,45.0,45.3,44.99,45.17,13845.198,625192.3797
1578585600000,45.14,45.43,44.2,44.35,18357.88,818726.78039
1578589200000,44.35,44.42,43.95,44.12,15334.201,677729.94119
1578592800000,44.12,44.2,43.87,44.11,11586.063,510385.84978
1578596400000,44.11,44.83,44.01,44.6,15175.153,673066.87667
1578600000000,44.6,45.15,44.08,44.38,13049.288,583982.69476
1578603600000,44.38,44.62,44.14,44.29,16872.406,748588.9626
1578607200000,44.29,44.6,44.21,44.51,10140.873,449813.69734
1578610800000,44.51,44.96,44.28,44.73,11323.597,505846.43297
1578614400000,44.73,45.14,44.69,44.8,14315.666,642514.55582
1578618000000,44.82,44.91,44.46,44.55,13629.227,609807.75039
1578621600000,44.55,44.7,44.49,44.58,8532.907,380298.92398
1578625200000,44.56,44.72,44.41,44.62,9172.258,409104.2715
1578628800000,44.62,44.67,44.36,44.41,9405.503,418585.78619
1578632400000,44.41,44.43,44.1,44.12,9232.305,409092.46313
1578636000000,44.12,44.52,44.12,44.33,10476.286,464388.27038
1578639600000,44.33,44.37,44.22,44.37,7564.124,335128.44371
1578643200000,44.37,44.38,44.07,44.18,11688.738,516628.44557
1578646800000,44.16,44.42,44.1,44.18,15354.677,679211.52186
1578650400000,44.2,44.58,43.8,44.58,15350.301,679904.85965
1578654000000,44.58,45.5,44.58,45.29,17107.223,771565.78414
1578657600000,45.29,46.3,45.07,46.26,15905.214,724988.15058
1578661200000,46.25,46.37,45.78,45.94,16601.673,765500.50335
1578664800000,45.94,46.97,45.89,46.87,15705.729,727036.88147
1578668400000,46.85,48.85,46.84,48.68,27554.337,1320254.50226
1578672000000,48.69,49.39,47.62,47.82,28833.894,1390435.35991
1578675600000,47.77,47.84,47.16,47.65,18765.646,892056.71375
1578679200000,47.69,49.06,47.62,48.03,23045.629,1111104.66759
1578682800000,48.04,49.63,47.95,49.06,21469.164,1046926.0342
1578686400000,49.0,49.39,48.37,48.64,24218.522,1186097.11614
1578690000000,48.64,49.12,48.38,48.67,18615.597,908108.30605
1578693600000,48.67,48.87,47.97,48.58,15611.099,755407.4681
1578697200000,48.58,49.24,48.3,49.04,16128.353,785861.96871
1578700800000,49.03,49.2,48.55,48.84,17200.101,840334.00948
1578704400000,48.84,49.95,48.84,49.35,18761.384,928083.10066
1578708000000,49.35,49.57,49.02,49.4,19493.957,960644.86336
1578711600000,49.4,49.4,48.74,48.95,17775.584,872545.13331
1578715200000,48.94,49.19,48.28,48.61,21055.15,1026007.98469
1578718800000,48.61,48.61,47.95,48.46,16191.919,782385.66629
1578722400000,48.46,49.2,48.17,49.07,18583.288,903923.1708
1578726000000,49.11,49.42,48.64,48.9,21355.395,1047171.64767
1578729600000,48.9,48.95,48.65,48.72,10531.999,514087.35677
1578733200000,48.72,49.43,48.68,49.33,14574.732,715907.50873
1578736800000,49.36,49.37,48.27,48.45,20247.681,988646.88597
1578740400000,48.47,48.51,47.76,48.17,20666.888,997925.51778
1578744000000,48.17,48.53,48.05,48.47,17672.73,855069.7377
1578747600000,48.45,49.62,48.43,49.55,19947.586,977352.28352
1578751200000,49.54,49.64,48.92,48.98,26871.618,1322945.75132
1578754800000,48.97,50.97,48.94,50.46,30602.416,1525842.33031
1578758400000,50.46,51.8,50.03,51.35,43646.315,2222674.71513
1578762000000,51.35,51.99,50.72,51.1,36147.554,1856353.04242
1578765600000,51.1,51.61,50.89,51.31,25158.354,1287638.08675
1578769200000,51.32,51.68,51.12,51.22,20287.674,1043838.83332
1578772800000,51.22,51.57,50.63,50.93,28073.194,1433674.68493
1578776400000,50.93,51.47,50.12,50.29,27388.381,1391695.48457
1578780000000,50.3,50.5,49.93,50.17,27405.336,1376184.65558
1578783600000,50.17,50.19,49.15,49.25,26145.197,1298135.46821
