open_time,open,high,low,close,volume,quote_volume
1600066800000,3.2002,4.91,3.2002,3.3666,426044.0,1430646.2821
1600070400000,3.3663,3.565,3.3,3.3298,754888.0,2575190.5616
1600074000000,3.3298,3.3567,3.2161,3.2755,361947.0,1185071.4205
1600077600000,3.2753,3.3873,3.25,3.3673,317777.0,1051486.2728
1600081200000,3.3686,3.46,3.32,3.3799,301402.0,1022088.9585
1600084800000,3.3748,3.49,3.3607,3.4677,219601.0,748850.7846
1600088400000,3.4687,3.4898,3.377,3.4485,293807.0,1005628.3317
1600092000000,3.4501,3.4866,3.3026,3.3452,290974.0,983537.3319
1600095600000,3.3452,3.4145,3.3301,3.3795,234340.0,789788.2763
1600099200000,3.3803,3.4228,3.3431,3.3653,198375.0,671597.2879
1600102800000,3.3648,3.3795,3.3056,3.3249,186089.0,621931.0571
1600106400000,3.3247,3.3463,3.25,3.2824,202412.0,667850.3947
1600110000000,3.2878,3.36,3.2224,3.3009,290472.0,957112.579
1600113600000,3.3012,3.3471,3.24,3.2522,193821.0,637379.7879
1600117200000,3.2505,3.2847,3.244,3.2695,171710.0,559966.4435
1600120800000,3.2694,3.3009,3.2555,3.2718,176172.0,577577.584
1600124400000,3.2718,3.3,3.2526,3.2661,168340.0,551081.1399
1600128000000,3.2629,3.2965,3.244,3.2662,129941.0,423391.5491
1600131600000,3.2668,3.3096,3.2566,3.2727,156221.0,512295.8806
1600135200000,3.2726,3.3258,3.2577,3.296,171676.0,565166.7153
1600138800000,3.2953,3.3035,3.2446,3.255,174153.0,569287.2601
1600142400000,3.2563,3.2758,3.2444,3.2555,155386.0,505958.5223
1600146000000,3.2555,3.271,3.2306,3.2572,173380.0,564004.3627
1600149600000,3.2577,3.2577,3.1993,3.2337,173126.0,558703.9545
1600153200000,3.2336,3.2527,3.1449,3.1807,223933.0,716500.2106
1600156800000,3.1807,3.1911,3.125,3.1532,184093.0,580857.0621
1600160400000,3.152,3.2376,3.126,3.221,183983.0,586477.0175
1600164000000,3.2208,3.2468,3.1726,3.2386,163643.0,524767.469
1600167600000,3.2381,3.2398,3.1828,3.2371,160421.0,515675.0203
1600171200000,3.2385,3.3149,3.2356,3.2914,206596.0,675830.1019
1600174800000,3.2914,3.306,3.1969,3.2176,171355.0,558181.0076
