open_time,open,high,low,close,volume,quote_volume
1578297600000,0.197,0.2041,0.197,0.2041,6306.4,1243.65622
1578301200000,0.2013,0.2222,0.2004,0.2127,6676329.3,1388223.65941
1578304800000,0.2127,0.2198,0.2105,0.2146,3681788.3,790707.49646
1578308400000,0.2146,0.2173,0.212,0.213,3631936.0,778171.70592
1578312000000,0.213,0.218,0.2123,0.215,4682254.3,1005779.46088
1578315600000,0.215,0.216,0.2108,0.212,4161963.4,891053.346
1578319200000,0.212,0.2152,0.2109,0.2132,5227252.7,1114842.2677
1578322800000,0.2132,0.2149,0.2119,0.2124,3891264.6,830154.82878
1578326400000,0.2124,0.2187,0.2115,0.2175,13965682.0,3016048.49499
1578330000000,0.2174,0.2209,0.2165,0.2186,6639912.5,1451466.7166
1578333600000,0.2186,0.2187,0.2172,0.2179,2063679.5,449842.58049
1578337200000,0.2179,0.2206,0.2172,0.2194,4720041.0,1034204.61807
1578340800000,0.2195,0.2257,0.2192,0.2241,8911514.6,1988510.89318
1578344400000,0.2241,0.2244,0.2175,0.2179,8493849.5,1873029.43648
1578348000000,0.2179,0.2259,0.2169,0.2214,9901276.7,2198648.42122
1578351600000,0.2214,0.2244,0.2213,0.2226,5367168.1,1195822.50073
1578355200000,0.2227,0.2297,0.2191,0.2209,8879676.0,1992265.58197
1578358800000,0.2209,0.2244,0.2207,0.2224,3430043.5,762573.39378
1578362400000,0.2224,0.2238,0.2187,0.2197,3974844.4,879986.82832
1578366000000,0.2196,0.2211,0.2183,0.2196,2380563.1,524035.67536
1578369600000,0.2197,0.22,0.2113,0.2135,12613879.0,2701547.31649
1578373200000,0.2136,0.2162,0.2127,0.2157,3781227.2,810987.53026
1578376800000,0.2157,0.2161,0.2143,0.2157,2137298.8,459674.21363
1578380400000,0.2157,0.218,0.2155,0.2174,2715228.6,588304.22256
1578384000000,0.2174,0.218,0.2152,0.2164,2582163.7,559892.73614
1578387600000,0.2164,0.2165,0.215,0.2151,2347618.2,506460.46956
1578391200000,0.2151,0.2166,0.215,0.2165,2188757.2,472348.92305
1578394800000,0.2166,0.218,0.215,0.2154,6322067.9,1371648.84832
1578398400000,0.2154,0.2154,0.21,0.2116,9743869.6,2068105.01803
1578402000000,0.2116,0.2122,0.2073,0.2104,8295149.2,1744424.64877
1578405600000,0.2104,0.2118,0.2092,0.2099,5122587.1,1078325.11562
1578409200000,0.2099,0.2106,0.2071,0.208,4730979.6,988686.23216
1578412800000,0.2082,0.2112,0.2071,0.2106,5040899.3,1058617.06664
1578416400000,0.2106,0.2128,0.2097,0.212,4860814.6,1028248.98825
1578420000000,0.212,0.2164,0.2116,0.2131,6730311.8,1439491.94438
1578423600000,0.2133,0.2196,0.2122,0.2151,12639900.0,2719404.11586
1578427200000,0.2149,0.2168,0.2142,0.2163,4027422.8,868485.45306
1578430800000,0.2162,0.2172,0.2131,0.2135,2990531.7,643131.01156
1578434400000,0.2135,0.2142,0.2111,0.2129,5091023.9,1082905.78161
1578438000000,0.213,0.2153,0.2125,0.2138,2359086.7,504925.26273
1578441600000,0.2138,0.2204,0.2131,0.2184,7925429.7,1705328.71825
1578445200000,0.2184,0.2191,0.2156,0.2158,4721716.5,1027620.54764
1578448800000,0.2158,0.2168,0.2139,0.2141,2501899.4,538843.60618
1578452400000,0.2141,0.2141,0.2121,0.2135,2443036.8,520620.19009
1578456000000,0.2135,0.2142,0.2132,0.2138,1499058.9,320257.26969
1578459600000,0.2138,0.2149,0.2129,0.2144,2857328.1,610604.92253
1578463200000,0.2144,0.2157,0.2136,0.2143,2161768.7,463766.45286
1578466800000,0.2143,0.215,0.2115,0.2123,3492054.9,745160.44001
1578470400000,0.2124,0.2133,0.2118,0.213,1977456.8,420166.36087
1578474000000,0.213,0.2131,0.2118,0.2119,3360495.4,714008.1608
1578477600000,0.2119,0.2147,0.2119,0.2129,3381464.7,721544.46529
1578481200000,0.2129,0.2132,0.2125,0.2127,1336762.7,284544.42763
1578484800000,0.2127,0.2169,0.2121,0.2134,7036037.1,1511545.16765
1578488400000,0.2133,0.2152,0.2122,0.2144,3763115.7,804361.13309
1578492000000,0.2144,0.2145,0.2114,0.2126,2868422.9,610059.06722
1578495600000,0.2126,0.2139,0.2117,0.2126,1808807.7,384241.19463
1578499200000,0.2126,0.2136,0.2013,0.207,9706480.0,2016309.87875
1578502800000,0.207,0.2081,0.2048,0.2071,3284524.5,678489.46247
1578506400000,0.2071,0.2077,0.2056,0.2067,2241990.2,463882.35651
1578510000000,0.2066,0.2074,0.2046,0.2057,1704926.9,351554.15893
1578513600000,0.2057,0.206,0.2029,0.2055,3721098.1,760488.84738
1578517200000,0.2056,0.2071,0.2052,0.2062,2291842.4,472603.54384
1578520800000,0.2062,0.2087,0.2058,0.2082,1771974.5,368013.32251
1578524400000,0.2082,0.2089,0.2072,0.2078,1933904.6,402587.63294
1578528000000,0.2078,0.2082,0.2058,0.2073,1902014.4,393801.9978
1578531600000,0.2073,0.2085,0.2067,0.2078,1411924.0,293075.527
1578535200000,0.2078,0.2089,0.2069,0.2078,1448962.2,301265.10914
1578538800000,0.2079,0.2079,0.2061,0.2069,953667.8,197232.67195
1578542400000,0.2069,0.2072,0.2063,0.2069,1422191.8,293921.7131
1578546000000,0.2069,0.2072,0.2049,0.2065,2699570.9,557100.38097
1578549600000,0.2065,0.2066,0.2052,0.2059,1165145.3,239897.54786
1578553200000,0.2059,0.2068,0.2059,0.2061,970616.0,200285.32641
1578556800000,0.2063,0.2064,0.2054,0.2057,1020712.2,210126.04245
1578560400000,0.2057,0.2057,0.2036,0.2038,2056442.7,420438.10499
1578564000000,0.2038,0.2052,0.2037,0.2046,1928877.6,394190.13044
1578567600000,0.2046,0.2049,0.2029,0.2038,2456838.0,500451.55104
1578571200000,0.2038,0.2044,0.2032,0.2042,2631624.2,536826.33073
1578574800000,0.2042,0.2055,0.2042,0.2046,2125213.2,435377.66447
1578578400000,0.2046,0.2052,0.204,0.2042,1889203.9,386550.51791
1578582000000,0.2042,0.205,0.2041,0.2043,1187335.1,242842.80158
1578585600000,0.2044,0.2047,0.202,0.2028,3383062.4,686988.01371
1578589200000,0.2028,0.2029,0.2013,0.2018,3600001.6,727059.54564
1578592800000,0.2018,0.2029,0.2015,0.2024,1052006.2,212694.99239
1578596400000,0.2024,0.2049,0.2022,0.2041,1370157.2,278667.85273
1578600000000,0.2041,0.206,0.2019,0.2025,3676954.9,751275.36819
1578603600000,0.2026,0.2031,0.201,0.2024,2005645.6,405425.38707
1578607200000,0.2024,0.2044,0.2022,0.2032,1461842.8,296955.17311
1578610800000,0.2032,0.2045,0.2028,0.204,1306419.9,265669.50237
1578614400000,0.2039,0.2049,0.2034,0.2034,1548473.1,316094.29061
1578618000000,0.2034,0.2039,0.2013,0.2021,1759230.5,356569.95256
1578621600000,0.2021,0.2023,0.2017,0.2018,1077333.8,217573.65004
1578625200000,0.2018,0.2022,0.2002,0.2022,2265354.1,455821.71799
1578628800000,0.2022,0.2024,0.2001,0.2022,2438409.7,490222.03178
1578632400000,0.2021,0.2024,0.2012,0.2013,1169850.9,236115.44638
1578636000000,0.2013,0.2022,0.2011,0.2018,1128511.4,227556.83154
1578639600000,0.2018,0.2024,0.2014,0.2021,1210489.4,244347.52829
1578643200000,0.2021,0.2023,0.2011,0.2013,1432022.5,288345.35961
1578646800000,0.2012,0.203,0.2011,0.2019,2070784.1,418246.1885
1578650400000,0.2018,0.2034,0.2005,0.2028,2133544.1,430757.85173
1578654000000,0.2029,0.2055,0.2027,0.2053,4124427.1,842083.76344
1578657600000,0.2053,0.2072,0.2042,0.2066,3479552.3,716504.7661
1578661200000,0.2065,0.2087,0.2058,0.2066,2752069.4,569770.16629
1578664800000,0.2066,0.2095,0.2061,0.2091,3223438.7,670267.1427
1578668400000,0.2091,0.2099,0.2064,0.2085,6239523.8,1298298.15861
1578672000000,0.2085,0.21,0.2065,0.2085,4553266.4,949715.6294
1578675600000,0.2085,0.209,0.2067,0.2076,2783100.9,578293.00295
1578679200000,0.2077,0.2102,0.2077,0.2092,3712771.8,776723.77459
1578682800000,0.2092,0.2116,0.2087,0.2105,4233317.6,890168.94377
1578686400000,0.2105,0.2108,0.2091,0.2096,2211565.3,464508.26073
1578690000000,0.2096,0.2106,0.209,0.2095,1919318.7,402502.24875
1578693600000,0.2095,0.2098,0.2086,0.2093,2062896.4,431376.57506
1578697200000,0.2093,0.2136,0.2091,0.2128,2959425.4,625090.35814
1578700800000,0.2128,0.2131,0.2112,0.2121,1847157.7,391815.69661
1578704400000,0.2121,0.215,0.2121,0.2138,3440777.0,735692.51762
1578708000000,0.2138,0.2139,0.2126,0.2137,1730850.7,368997.21562
1578711600000,0.2137,0.214,0.2117,0.2124,1701507.4,361498.59113
1578715200000,0.2124,0.213,0.2106,0.2115,2230273.8,472272.03389
1578718800000,0.2115,0.2115,0.2094,0.2106,2296965.5,482833.76083
1578722400000,0.2106,0.2117,0.21,0.2114,1315377.1,277568.82724
1578726000000,0.2114,0.2126,0.2103,0.2112,2152363.2,455228.15929
1578729600000,0.2112,0.2114,0.2097,0.2108,1465335.0,308600.49521
1578733200000,0.2108,0.2129,0.2107,0.2125,1463544.7,309897.50107
1578736800000,0.2125,0.2125,0.2098,0.2101,2240671.4,473420.41892
1578740400000,0.2101,0.2103,0.2085,0.2093,1637521.0,343096.21764
1578744000000,0.2093,0.2103,0.209,0.21,1311360.1,275134.86371
1578747600000,0.21,0.2121,0.2099,0.2117,1186004.5,250377.70374
1578751200000,0.2119,0.2124,0.2104,0.2105,1466406.7,310128.73327
1578754800000,0.2105,0.2122,0.2103,0.2118,2650172.6,560791.95798
1578758400000,0.2118,0.2185,0.2099,0.2175,10094639.1,2171132.89834
1578762000000,0.2176,0.2186,0.2162,0.2166,6234196.4,1355813.32881
1578765600000,0.2166,0.2192,0.2156,0.2179,3707245.9,807171.48455
1578769200000,0.2179,0.2195,0.2178,0.2191,2735644.5,597693.16083
1578772800000,0.2191,0.2203,0.2176,0.2176,4829803.0,1057798.26895
1578776400000,0.2176,0.219,0.2095,0.2134,6990766.1,1501593.65341
1578780000000,0.2133,0.2159,0.2098,0.2139,6043317.9,1291780.26301
1578783600000,0.2139,0.214,0.2106,0.2117,2970925.3,631025.3149
1578787200000,0.2113,0.2134,0.2095,0.2129,4932195.4,1042862.55729
1578790800000,0.2129,0.2139,0.212,0.2131,1528269.5,325600.76576
1578794400000,0.2131,0.2148,0.2131,0.2143,1823553.8,390829.58285
1578798000000,0.2143,0.2154,0.2127,0.2133,3709592.2,792613.22239
1578801600000,0.2133,0.2148,0.2133,0.2137,1425922.0,305286.34581
1578805200000,0.2137,0.2143,0.2135,0.2143,952084.4,203732.34226
1578808800000,0.2143,0.217,0.2142,0.2148,3835497.9,827142.58096
1578812400000,0.2148,0.2154,0.2147,0.2148,1384049.7,297517.90543
1578816000000,0.2148,0.2155,0.2136,0.2153,2421960.1,519584.17647
1578819600000,0.2154,0.2155,0.2144,0.2147,2044368.4,439270.7534
1578823200000,0.2147,0.2147,0.2117,0.2137,2945160.9,627805.14231
1578826800000,0.2137,0.2141,0.2123,0.2131,1893443.7,403847.07413
1578830400000,0.2131,0.2147,0.213,0.2137,1134006.1,242451.25746
1578834000000,0.2137,0.2163,0.2135,0.2158,3503895.2,753229.72036
1578837600000,0.2158,0.2161,0.2142,0.2149,4752126.2,1022514.35014
1578841200000,0.2149,0.2159,0.2145,0.2154,2525663.8,543703.44273
1578844800000,0.2154,0.2164,0.2131,0.2133,8616815.5,1851190.45813
1578848400000,0.2133,0.2153,0.2125,0.2132,4664923.9,996366.05587
1578852000000,0.2133,0.214,0.213,0.2133,2541938.4,542618.07622
1578855600000,0.2133,0.2138,0.2129,0.2133,2354479.4,502321.93901
1578859200000,0.2133,0.2137,0.213,0.2131,1661363.7,354272.29216
1578862800000,0.2131,0.2137,0.2126,0.2126,1509534.2,321749.05254
1578866400000,0.2126,0.215,0.2126,0.2141,2418543.4,517455.46946
1578870000000,0.2141,0.2158,0.214,0.2158,2059172.8,442061.71685
1578873600000,0.2155,0.216,0.2133,0.2134,2057132.0,441253.67391
1578877200000,0.2134,0.214,0.2129,0.214,1866645.0,398350.60385
1578880800000,0.2141,0.2144,0.2116,0.2117,2838771.6,604210.60528
1578884400000,0.2117,0.2126,0.2111,0.2121,1470784.0,311839.60493
1578888000000,0.2121,0.2128,0.2116,0.2124,1247312.1,264430.36999
1578891600000,0.2125,0.2125,0.2115,0.2117,1563716.9,331488.30491
1578895200000,0.2117,0.2123,0.2104,0.2105,1583553.8,334881.19281
