decision_iso,status,reason,eligible_count,eligible,symbol,side,weight,entry_iso,exit_iso,entry_price,exit_price,leg_gross_return,leg_funding_return,momentum,volatility,period_net_return
2020-05-05T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LINKUSDT,1,0.5000000000,2020-05-05T00:00:00Z,2020-05-06T00:00:00Z,3.753,3.685,-0.0181188383,-0.0007951000,0.6211663067,0.0113672412,-0.0062763988
2020-05-05T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-05T00:00:00Z,2020-05-06T00:00:00Z,46.99,46.58,0.0087252607,0.0000358800,0.1533742331,0.0081979448,-0.0062763988
2020-05-06T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LINKUSDT,1,0.5000000000,2020-05-06T00:00:00Z,2020-05-07T00:00:00Z,3.685,3.595,-0.0244233379,-0.0010608200,0.6276501767,0.0113944186,0.0038754980
2020-05-06T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-06T00:00:00Z,2020-05-07T00:00:00Z,46.58,44.94,0.0352082439,0.0004269100,0.1538270993,0.0082660478,0.0038754980
2020-05-07T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LINKUSDT,1,0.5000000000,2020-05-07T00:00:00Z,2020-05-08T00:00:00Z,3.595,3.765,0.0472878999,-0.0006913400,0.4098039216,0.0112787935,-0.0049738920
2020-05-07T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-07T00:00:00Z,2020-05-08T00:00:00Z,44.94,47.39,-0.0545171340,0.0003727900,-0.0028837622,0.0081608075,-0.0049738920
2020-05-08T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-08T00:00:00Z,2020-05-09T00:00:00Z,0.05128,0.05206,0.0152106084,-0.0011292400,0.4515855040,0.0094138722,0.0032145370
2020-05-08T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-08T00:00:00Z,2020-05-09T00:00:00Z,47.39,47.72,-0.0069634944,0.0017112000,0.0571046174,0.0080981370,0.0032145370
2020-05-09T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-09T00:00:00Z,2020-05-10T00:00:00Z,0.05206,0.05156,-0.0096043027,-0.0016571700,0.4277091907,0.0095423619,0.0017462553
2020-05-09T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-09T00:00:00Z,2020-05-10T00:00:00Z,47.72,47.0,0.0150880134,0.0020659700,0.0248980468,0.0080072216,0.0017462553
2020-05-10T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-10T00:00:00Z,2020-05-11T00:00:00Z,0.05156,0.04762,-0.0764158262,-0.0008501600,0.4267515924,0.0095860633,0.0131556143
2020-05-10T00:00:00Z,active,,5,ETHUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-10T00:00:00Z,2020-05-11T00:00:00Z,47.0,42.04,0.1055319149,0.0004453000,0.0155574762,0.0079833034,0.0131556143
2020-05-11T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-11T00:00:00Z,2020-05-12T00:00:00Z,0.04762,0.04783,0.0044099118,-0.0006003200,0.4321804511,0.0100946906,0.0072461851
2020-05-11T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-11T00:00:00Z,2020-05-12T00:00:00Z,42.04,41.49,0.0130827783,0.0000000000,-0.0061465721,0.0087710738,0.0072461851
2020-05-12T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-12T00:00:00Z,2020-05-13T00:00:00Z,0.04783,0.05043,0.0543591888,-0.0003000000,0.4305804907,0.0102654253,0.0172733158
2020-05-12T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-12T00:00:00Z,2020-05-13T00:00:00Z,41.49,42.2,-0.0171125572,0.0000000000,-0.0244418331,0.0088957321,0.0172733158
2020-05-13T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-13T00:00:00Z,2020-05-14T00:00:00Z,0.05043,0.05142,0.0196311719,-0.0003000000,0.5067224380,0.0102751408,-0.0030273050
2020-05-13T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-13T00:00:00Z,2020-05-14T00:00:00Z,42.2,43.17,-0.0229857820,0.0000000000,0.0052405908,0.0087861957,-0.0030273050
2020-05-14T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-14T00:00:00Z,2020-05-15T00:00:00Z,0.05142,0.05096,-0.0089459354,-0.0002773000,0.5557907469,0.0102809829,-0.0149614903
2020-05-14T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,LTCUSDT,-1,0.5000000000,2020-05-14T00:00:00Z,2020-05-15T00:00:00Z,43.17,43.96,-0.0182997452,0.0000000000,0.0483009709,0.0087392797,-0.0149614903
2020-05-15T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-15T00:00:00Z,2020-05-16T00:00:00Z,0.05096,0.05033,-0.0123626374,-0.0003000000,0.5403445150,0.0102987094,0.0126605191
2020-05-15T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,BNBUSDT,-1,0.5000000000,2020-05-15T00:00:00Z,2020-05-16T00:00:00Z,16.368,15.707,0.0403836755,0.0000000000,0.0492528699,0.0086551385,0.0126605191
2020-05-16T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,ADAUSDT,1,0.5000000000,2020-05-16T00:00:00Z,2020-05-17T00:00:00Z,0.05033,0.05103,0.0139082058,-0.0003000000,0.5807160804,0.0102891798,-0.0056329252
2020-05-16T00:00:00Z,active,,6,ETHUSDT|BNBUSDT|XRPUSDT|ADAUSDT|LINKUSDT|LTCUSDT,BNBUSDT,-1,0.5000000000,2020-05-16T00:00:00Z,2020-05-17T00:00:00Z,15.707,16.06,-0.0224740562,0.0000000000,0.0801705171,0.0085814502,-0.0056329252
