symbol,episodes,take,stop,rank,winrate_price,avg_win_move,avg_loss_move,avg_move,avg_hold_days,long_episodes,short_episodes
ADAUSDT,312,5,8,299,0.5962,0.05797,-0.06287,0.00917,3.63,136,176
AVAXUSDT,308,11,15,282,0.5552,0.09144,-0.08641,0.01233,4.23,145,163
BNBUSDT,199,24,13,162,0.5327,0.08365,-0.06769,0.01293,7.59,141,58
BTCUSDT,281,15,1,265,0.484,0.05213,-0.02983,0.00984,4.32,128,153
DOGEUSDT,294,2,12,280,0.517,0.08368,-0.07982,0.00471,3.82,85,209
DOTUSDT,244,6,7,231,0.5369,0.07544,-0.076,0.0053,5.42,140,104
ETHUSDT,285,14,5,266,0.5368,0.05778,-0.04871,0.00846,3.53,127,158
LINKUSDT,265,6,8,251,0.4981,0.06986,-0.08398,-0.00735,4.53,80,185
SOLUSDT,282,15,5,262,0.5,0.09385,-0.06803,0.01291,4.03,150,132
XRPUSDT,284,2,8,274,0.5176,0.04889,-0.06337,-0.00526,3.63,118,166
