date,daily_return,equity_multiple
2021-01-01,-0.0007820042,0.9992179958
2021-01-02,-0.0233148439,0.9759213842
2021-01-03,-0.0645973900,0.9128794099
2021-01-04,0.0426291872,0.9517947171
2021-01-05,0.0258362320,0.9763855063
2021-01-06,0.0000458999,0.9764303222
2021-01-07,0.0684956639,1.0433115654
2021-01-08,0.1097779067,1.1578441251
2021-01-09,0.0121049088,1.1718597226
2021-01-10,0.0237597219,1.1997027837
2021-01-11,0.0078372348,1.2091051361
2021-01-12,0.0138316048,1.2258290005
2021-01-13,0.0162739532,1.2457780843
2021-01-14,0.0449669317,1.3017969023
2021-01-15,-0.0038074308,1.2968404007
2021-01-16,0.0700946783,1.3877420114
2021-01-17,-0.0402252239,1.3319197782
2021-01-18,0.0016821405,1.3341602544
2021-01-19,0.0110810760,1.3489441855
2021-01-20,0.0155631976,1.3699380704
2021-01-21,-0.0097500179,1.3565811496
2021-01-22,0.0119289571,1.3727637480
2021-01-23,-0.0174206200,1.3488493525
2021-01-24,-0.0164158208,1.3267068832
2021-01-25,0.0213653112,1.3550523887
2021-01-26,-0.0040666158,1.3495419113
2021-01-27,0.0036659961,1.3544893266
2021-01-28,0.3520673933,1.8313608531
2021-01-29,-0.0078518266,1.8169813252
2021-01-30,0.0097999399,1.8347876330
2021-01-31,0.0077260254,1.8489632489
2021-02-01,0.0790472147,1.9951186437
2021-02-02,-0.0235716115,1.9480904820
2021-02-03,-0.0166337604,1.9156864117
2021-02-04,0.0392148470,1.9908097612
2021-02-05,0.0163723784,2.0234040520
2021-02-06,0.0397095801,2.1037525773
2021-02-07,0.0233434118,2.1528613400
2021-02-08,0.0515133561,2.2637624528
2021-02-09,0.1323795094,2.5634382158
2021-02-10,0.2486856701,3.2009285664
2021-02-11,0.0098758004,3.2325402981
2021-02-12,-0.0382554001,3.1088781757
2021-02-13,-0.0091998092,3.0802770896
2021-02-14,-0.0084387238,3.0542834821
2021-02-15,0.0005933070,3.0560956099
2021-02-16,-0.0102892113,3.0246507965
2021-02-17,0.0068661529,3.0454185114
2021-02-18,-0.0019343474,3.0395276140
2021-02-19,0.0515254014,3.1961404944
2021-02-20,-0.0172674386,3.1409513346
2021-02-21,0.0192154497,3.2013061271
