breadth,config_id,family,lookback_days,rebalance,timeframe,volatility_target,weighting,observations,compounded_net_return,annualized_return,sharpe,sortino,calmar,max_drawdown,turnover,cost_drag,funding_return,active_days,hard_violation_count,stress_compounded_net_return,stress_sharpe,positive_outer_fold_share,median_outer_sharpe,median_outer_calmar
top2,f48bdca64b00d0903b54,A,14,7d,1h,0.2,inverse_vol,2192,0.7923983924001681,0.10204810377456064,1.4649844809096682,2.4226083898243647,1.79611959797775,-0.05681587344710037,23.434562729204803,0.01640419391044336,-0.01387138296361706,299,0,0.779838570379741,1.4475698269640995,0.8,2.1033706470658635,3.2735501780521763
top2,7f5e9b6efdf85a7d858a,A,14,7d,2h,0.2,inverse_vol,2192,0.7923983924001681,0.10204810377456064,1.4649844809096682,2.4226083898243647,1.79611959797775,-0.05681587344710037,23.434562729204803,0.01640419391044336,-0.01387138296361706,299,0,0.779838570379741,1.4475698269640995,0.8,2.1033706470658635,3.2735501780521763
top2,b138c44dd703671d3e41,A,14,7d,4h,0.2,inverse_vol,2192,0.7923983924001681,0.10204810377456064,1.4649844809096682,2.4226083898243647,1.79611959797775,-0.05681587344710037,23.434562729204803,0.01640419391044336,-0.01387138296361706,299,0,0.779838570379741,1.4475698269640995,0.8,2.1033706470658635,3.2735501780521763
top2,1fd15c3268ffc9ad36bf,A,14,7d,1d,0.2,inverse_vol,2192,0.7923983924001681,0.10204810377456064,1.4649844809096682,2.4226083898243647,1.79611959797775,-0.05681587344710037,23.434562729204803,0.01640419391044336,-0.01387138296361706,299,0,0.779838570379741,1.4475698269640995,0.8,2.1033706470658635,3.2735501780521763
top2,da103c2f7ded4f5b9fbd,A,14,7d,1h,0.1,inverse_vol,2192,0.3434536272522781,0.050390893979989304,1.4649844809096682,2.4226083898243647,1.758328744566386,-0.02865840312041079,11.717281364602401,0.00820209695522168,-0.00693569148180853,299,0,0.33873892487730095,1.4475698269640995,0.8,2.1033706470658635,3.1644473633716075
top2,7831effb77957c3453b0,A,14,7d,2h,0.1,inverse_vol,2192,0.3434536272522781,0.050390893979989304,1.4649844809096682,2.4226083898243647,1.758328744566386,-0.02865840312041079,11.717281364602401,0.00820209695522168,-0.00693569148180853,299,0,0.33873892487730095,1.4475698269640995,0.8,2.1033706470658635,3.1644473633716075
top2,8ecc31ddba40790a2a00,A,14,7d,4h,0.1,inverse_vol,2192,0.3434536272522781,0.050390893979989304,1.4649844809096682,2.4226083898243647,1.758328744566386,-0.02865840312041079,11.717281364602401,0.00820209695522168,-0.00693569148180853,299,0,0.33873892487730095,1.4475698269640995,0.8,2.1033706470658635,3.1644473633716075
top2,e61bb1c09e4cc1888600,A,14,7d,1d,0.1,inverse_vol,2192,0.3434536272522781,0.050390893979989304,1.4649844809096682,2.4226083898243647,1.758328744566386,-0.02865840312041079,11.717281364602401,0.00820209695522168,-0.00693569148180853,299,0,0.33873892487730095,1.4475698269640995,0.8,2.1033706470658635,3.1644473633716075
top2,06d112f3e4b5a6dfe87d,A,14,7d,1h,0.15,inverse_vol,2192,0.5531168541756917,0.0760644390002363,1.4649844809096682,2.4226083898243647,1.7772068858393648,-0.04279999115821087,17.5759220469036,0.012303145432832521,-0.010403537222712797,299,0,0.5449478299315635,1.4475698269641,0.8,2.103370647065863,3.2185997992224857
top2,bad40dd6cd50415f1289,A,14,7d,2h,0.15,inverse_vol,2192,0.5531168541756917,0.0760644390002363,1.4649844809096682,2.4226083898243647,1.7772068858393648,-0.04279999115821087,17.5759220469036,0.012303145432832521,-0.010403537222712797,299,0,0.5449478299315635,1.4475698269641,0.8,2.103370647065863,3.2185997992224857
top2,9549eb42cd84738d686f,A,14,7d,4h,0.15,inverse_vol,2192,0.5531168541756917,0.0760644390002363,1.4649844809096682,2.4226083898243647,1.7772068858393648,-0.04279999115821087,17.5759220469036,0.012303145432832521,-0.010403537222712797,299,0,0.5449478299315635,1.4475698269641,0.8,2.103370647065863,3.2185997992224857
top2,4b776c53731b4df6fff1,A,14,7d,1d,0.15,inverse_vol,2192,0.5531168541756917,0.0760644390002363,1.4649844809096682,2.4226083898243647,1.7772068858393648,-0.04279999115821087,17.5759220469036,0.012303145432832521,-0.010403537222712797,299,0,0.5449478299315635,1.4475698269641,0.8,2.103370647065863,3.2185997992224857
top2,83b06d8e6c2f857921a7,A,14,7d,1h,0.2,equal,2192,0.7294285468572712,0.09550473705235962,1.4372309899995115,2.3563770730232703,1.7626408815689099,-0.05418275387289995,22.331709953637695,0.015632196967546384,-0.013658656537848618,299,0,0.7178792217747516,1.419905767082198,0.8,1.9813893842853445,2.954495012386812
top2,e48d0ac8b9db6cf82e96,A,14,7d,2h,0.2,equal,2192,0.7294285468572712,0.09550473705235962,1.4372309899995115,2.3563770730232703,1.7626408815689099,-0.05418275387289995,22.331709953637695,0.015632196967546384,-0.013658656537848618,299,0,0.7178792217747516,1.419905767082198,0.8,1.9813893842853445,2.954495012386812
top2,ca0a0289e90aeb89660c,A,14,7d,4h,0.2,equal,2192,0.7294285468572712,0.09550473705235962,1.4372309899995115,2.3563770730232703,1.7626408815689099,-0.05418275387289995,22.331709953637695,0.015632196967546384,-0.013658656537848618,299,0,0.7178792217747516,1.419905767082198,0.8,1.9813893842853445,2.954495012386812
top2,203e6ef3a33f3a3419fd,A,14,7d,1d,0.2,equal,2192,0.7294285468572712,0.09550473705235962,1.4372309899995115,2.3563770730232703,1.7626408815689099,-0.05418275387289995,22.331709953637695,0.015632196967546384,-0.013658656537848618,299,0,0.7178792217747516,1.419905767082198,0.8,1.9813893842853445,2.954495012386812
top2,681ac6493c397526ab62,A,14,7d,1h,0.1,equal,2192,0.3192523484838121,0.04721619037741953,1.4372309899995115,2.3563770730232703,1.7288565057266219,-0.02731064736779587,11.165854976818848,0.007816098483773192,-0.006829328268924309,299,0,0.3148402548977127,1.419905767082198,0.8,1.9813893842853445,2.8699179305730635
top2,1ac15e127e667259b1dc,A,14,7d,2h,0.1,equal,2192,0.3192523484838121,0.04721619037741953,1.4372309899995115,2.3563770730232703,1.7288565057266219,-0.02731064736779587,11.165854976818848,0.007816098483773192,-0.006829328268924309,299,0,0.3148402548977127,1.419905767082198,0.8,1.9813893842853445,2.8699179305730635
top2,7f8334294fcadf1eb3f6,A,14,7d,4h,0.1,equal,2192,0.3192523484838121,0.04721619037741953,1.4372309899995115,2.3563770730232703,1.7288565057266219,-0.02731064736779587,11.165854976818848,0.007816098483773192,-0.006829328268924309,299,0,0.3148402548977127,1.419905767082198,0.8,1.9813893842853445,2.8699179305730635
top2,7e8302b71b2d511b168a,A,14,7d,1d,0.1,equal,2192,0.3192523484838121,0.04721619037741953,1.4372309899995115,2.3563770730232703,1.7288565057266219,-0.02731064736779587,11.165854976818848,0.007816098483773192,-0.006829328268924309,299,0,0.3148402548977127,1.419905767082198,0.8,1.9813893842853445,2.8699179305730635
top2,a72eb98298cdb2835202,A,14,7d,1h,0.15,equal,2192,0.5116758035775955,0.07122940882257511,1.4372309899995117,2.3563770730232703,1.7457416590705666,-0.040801803893766087,16.74878246522827,0.01172414772565979,-0.010243992403386469,299,0,0.5040984091728713,1.419905767082198,0.8,1.9813893842853443,2.911962583091888
top2,c766b9e5343005c6338a,A,14,7d,2h,0.15,equal,2192,0.5116758035775955,0.07122940882257511,1.4372309899995117,2.3563770730232703,1.7457416590705666,-0.040801803893766087,16.74878246522827,0.01172414772565979,-0.010243992403386469,299,0,0.5040984091728713,1.419905767082198,0.8,1.9813893842853443,2.911962583091888
top2,1130702987bac883f6a8,A,14,7d,4h,0.15,equal,2192,0.5116758035775955,0.07122940882257511,1.4372309899995117,2.3563770730232703,1.7457416590705666,-0.040801803893766087,16.74878246522827,0.01172414772565979,-0.010243992403386469,299,0,0.5040984091728713,1.419905767082198,0.8,1.9813893842853443,2.911962583091888
top2,daab31cdd91eda26776f,A,14,7d,1d,0.15,equal,2192,0.5116758035775955,0.07122940882257511,1.4372309899995117,2.3563770730232703,1.7457416590705666,-0.040801803893766087,16.74878246522827,0.01172414772565979,-0.010243992403386469,299,0,0.5040984091728713,1.419905767082198,0.8,1.9813893842853443,2.911962583091888
top20pct,110cdcdd5875d6052d93,A,30,7d,1h,0.15,inverse_vol,2192,0.8081155172598367,0.10365138589600464,1.567825878075106,2.432375380394183,1.669740944750851,-0.06207632760150761,16.403624388277983,0.011482537071794589,-0.025657917119491926,293,0,0.799237058016949,1.5549036236535072,0.8,1.8416176459734142,3.197369327780705
top20pct,b9979132e3cbb583cb01,A,30,7d,2h,0.15,inverse_vol,2192,0.8081155172598367,0.10365138589600464,1.567825878075106,2.432375380394183,1.669740944750851,-0.06207632760150761,16.403624388277983,0.011482537071794589,-0.025657917119491926,293,0,0.799237058016949,1.5549036236535072,0.8,1.8416176459734142,3.197369327780705
top20pct,930080ad856588ae1423,A,30,7d,4h,0.15,inverse_vol,2192,0.8081155172598367,0.10365138589600464,1.567825878075106,2.432375380394183,1.669740944750851,-0.06207632760150761,16.403624388277983,0.011482537071794589,-0.025657917119491926,293,0,0.799237058016949,1.5549036236535072,0.8,1.8416176459734142,3.197369327780705
top20pct,ca422eccadd9b1c341a0,A,30,7d,1d,0.15,inverse_vol,2192,0.8081155172598367,0.10365138589600464,1.567825878075106,2.432375380394183,1.669740944750851,-0.06207632760150761,16.403624388277983,0.011482537071794589,-0.025657917119491926,293,0,0.799237058016949,1.5549036236535072,0.8,1.8416176459734142,3.197369327780705
top20pct,8202d49666589812443e,A,30,7d,1h,0.2,inverse_vol,2192,1.190647753490187,0.13948943142528836,1.5678258780751055,2.432375380394182,1.6993894304675077,-0.08208208720405796,21.87149918437065,0.015310049429059454,-0.03421055615932258,293,0,1.176315658153145,1.554903623653507,0.8,1.841617645973413,3.2637702212016673
top20pct,227b85ded7a565252de2,A,30,7d,2h,0.2,inverse_vol,2192,1.190647753490187,0.13948943142528836,1.5678258780751055,2.432375380394182,1.6993894304675077,-0.08208208720405796,21.87149918437065,0.015310049429059454,-0.03421055615932258,293,0,1.176315658153145,1.554903623653507,0.8,1.841617645973413,3.2637702212016673
top20pct,d2f9fe5be21787e8eee7,A,30,7d,4h,0.2,inverse_vol,2192,1.190647753490187,0.13948943142528836,1.5678258780751055,2.432375380394182,1.6993894304675077,-0.08208208720405796,21.87149918437065,0.015310049429059454,-0.03421055615932258,293,0,1.176315658153145,1.554903623653507,0.8,1.841617645973413,3.2637702212016673
top20pct,94f7e66fd43e7af329fb,A,30,7d,1d,0.2,inverse_vol,2192,1.190647753490187,0.13948943142528836,1.5678258780751055,2.432375380394182,1.6993894304675077,-0.08208208720405796,21.87149918437065,0.015310049429059454,-0.03421055615932258,293,0,1.176315658153145,1.554903623653507,0.8,1.841617645973413,3.2637702212016673
top20pct,5fe1ddd49adebe06788a,A,30,7d,1h,0.1,inverse_vol,2192,0.4882761573519152,0.06845030585049128,1.5678258780751055,2.432375380394182,1.6403243177376383,-0.04172973911945599,10.935749592185324,0.007655024714529727,-0.01710527807966129,293,0,0.4834006649739755,1.554903623653507,0.8,1.841617645973413,3.131906155226573
top20pct,9ca025dc59b4f98cb17b,A,30,7d,2h,0.1,inverse_vol,2192,0.4882761573519152,0.06845030585049128,1.5678258780751055,2.432375380394182,1.6403243177376383,-0.04172973911945599,10.935749592185324,0.007655024714529727,-0.01710527807966129,293,0,0.4834006649739755,1.554903623653507,0.8,1.841617645973413,3.131906155226573
top20pct,3d7f079bf757b6469920,A,30,7d,4h,0.1,inverse_vol,2192,0.4882761573519152,0.06845030585049128,1.5678258780751055,2.432375380394182,1.6403243177376383,-0.04172973911945599,10.935749592185324,0.007655024714529727,-0.01710527807966129,293,0,0.4834006649739755,1.554903623653507,0.8,1.841617645973413,3.131906155226573
top20pct,1bb9046e8ab9063d5554,A,30,7d,1d,0.1,inverse_vol,2192,0.4882761573519152,0.06845030585049128,1.5678258780751055,2.432375380394182,1.6403243177376383,-0.04172973911945599,10.935749592185324,0.007655024714529727,-0.01710527807966129,293,0,0.4834006649739755,1.554903623653507,0.8,1.841617645973413,3.131906155226573
top20pct,3fb3e34a76a6d4173aaa,A,30,7d,1h,0.2,equal,2192,1.1148598786970751,0.13282841695231018,1.5562171590865095,2.4088176379016493,1.6656578090254028,-0.079745321177361,20.453128436590745,0.01431718990561352,-0.034520806835379766,293,0,1.1019168767212646,1.5436226366029695,0.8,1.8195983621093181,3.1104665010001185
top20pct,0ca097cd39143b9ea29e,A,30,7d,2h,0.2,equal,2192,1.1148598786970751,0.13282841695231018,1.5562171590865095,2.4088176379016493,1.6656578090254028,-0.079745321177361,20.453128436590745,0.01431718990561352,-0.034520806835379766,293,0,1.1019168767212646,1.5436226366029695,0.8,1.8195983621093181,3.1104665010001185
top20pct,286b06724309df93ed0c,A,30,7d,4h,0.2,equal,2192,1.1148598786970751,0.13282841695231018,1.5562171590865095,2.4088176379016493,1.6656578090254028,-0.079745321177361,20.453128436590745,0.01431718990561352,-0.034520806835379766,293,0,1.1019168767212646,1.5436226366029695,0.8,1.8195983621093181,3.1104665010001185
top20pct,43f1cdc69d144af825b5,A,30,7d,1d,0.2,equal,2192,1.1148598786970751,0.13282841695231018,1.5562171590865095,2.4088176379016493,1.6656578090254028,-0.079745321177361,20.453128436590745,0.01431718990561352,-0.034520806835379766,293,0,1.1019168767212646,1.5436226366029695,0.8,1.8195983621093181,3.1104665010001185
top20pct,be062fb8c25983c1708c,A,30,7d,1h,0.1,equal,2192,0.4616937691895713,0.06524865995126139,1.5562171590865095,2.4088176379016493,1.6100807280232394,-0.040525085988309284,10.226564218295373,0.00715859495280676,-0.017260403417689883,293,0,0.4572151889864262,1.5436226366029695,0.8,1.8195983621093181,2.9915884568080116
top20pct,af43c4beea1df5c91252,A,30,7d,2h,0.1,equal,2192,0.4616937691895713,0.06524865995126139,1.5562171590865095,2.4088176379016493,1.6100807280232394,-0.040525085988309284,10.226564218295373,0.00715859495280676,-0.017260403417689883,293,0,0.4572151889864262,1.5436226366029695,0.8,1.8195983621093181,2.9915884568080116
top20pct,1e061180d6e859c726f5,A,30,7d,4h,0.1,equal,2192,0.4616937691895713,0.06524865995126139,1.5562171590865095,2.4088176379016493,1.6100807280232394,-0.040525085988309284,10.226564218295373,0.00715859495280676,-0.017260403417689883,293,0,0.4572151889864262,1.5436226366029695,0.8,1.8195983621093181,2.9915884568080116
top20pct,8902acf618c227776fbc,A,30,7d,1d,0.1,equal,2192,0.4616937691895713,0.06524865995126139,1.5562171590865095,2.4088176379016493,1.6100807280232394,-0.040525085988309284,10.226564218295373,0.00715859495280676,-0.017260403417689883,293,0,0.4572151889864262,1.5436226366029695,0.8,1.8195983621093181,2.9915884568080116
top20pct,dd8fc102647778842da5,A,30,7d,1h,0.15,equal,2192,0.7604424407858483,0.09875185277874832,1.5562171590865095,2.408817637901649,1.6377666373811306,-0.06029665675487039,15.339846327443055,0.01073789242921014,-0.025890605126534814,293,0,0.7523567715708539,1.5436226366029695,0.8,1.8195983621093177,3.050660144344388
top20pct,9318f259a88de0a6bc92,A,30,7d,2h,0.15,equal,2192,0.7604424407858483,0.09875185277874832,1.5562171590865095,2.408817637901649,1.6377666373811306,-0.06029665675487039,15.339846327443055,0.01073789242921014,-0.025890605126534814,293,0,0.7523567715708539,1.5436226366029695,0.8,1.8195983621093177,3.050660144344388
top20pct,6ba4559d3a50c489fc86,A,30,7d,4h,0.15,equal,2192,0.7604424407858483,0.09875185277874832,1.5562171590865095,2.408817637901649,1.6377666373811306,-0.06029665675487039,15.339846327443055,0.01073789242921014,-0.025890605126534814,293,0,0.7523567715708539,1.5436226366029695,0.8,1.8195983621093177,3.050660144344388
top20pct,3752d11122a1e8bc57e8,A,30,7d,1d,0.15,equal,2192,0.7604424407858483,0.09875185277874832,1.5562171590865095,2.408817637901649,1.6377666373811306,-0.06029665675487039,15.339846327443055,0.01073789242921014,-0.025890605126534814,293,0,0.7523567715708539,1.5436226366029695,0.8,1.8195983621093177,3.050660144344388
top2,5a6bf54358723b0e583d,A,14,7d,1h,0.2,capped_rank,2192,2.4273392325206453,0.227660168786471,1.2830847179370994,2.0073748085002068,1.3126152273869247,-0.17344013998655428,59.1720376502904,0.04142042635520328,-0.025794080003050508,298,0,2.367016240556327,1.265723313634404,0.8,1.8173430083108857,2.9503272815066994
top2,22b37e0a7998f1e82322,A,14,7d,2h,0.2,capped_rank,2192,2.4273392325206453,0.227660168786471,1.2830847179370994,2.0073748085002068,1.3126152273869247,-0.17344013998655428,59.1720376502904,0.04142042635520328,-0.025794080003050508,298,0,2.367016240556327,1.265723313634404,0.8,1.8173430083108857,2.9503272815066994
top2,89d2a6cd5ecb2c90d8b0,A,14,7d,4h,0.2,capped_rank,2192,2.4273392325206453,0.227660168786471,1.2830847179370994,2.0073748085002068,1.3126152273869247,-0.17344013998655428,59.1720376502904,0.04142042635520328,-0.025794080003050508,298,0,2.367016240556327,1.265723313634404,0.8,1.8173430083108857,2.9503272815066994
top2,3527cc70a9d1b0b58ecb,A,14,7d,1d,0.2,capped_rank,2192,2.4273392325206453,0.227660168786471,1.2830847179370994,2.0073748085002068,1.3126152273869247,-0.17344013998655428,59.1720376502904,0.04142042635520328,-0.025794080003050508,298,0,2.367016240556327,1.265723313634404,0.8,1.8173430083108857,2.9503272815066994
top2,caff365e278c2deb37fd,A,14,7d,1h,0.1,capped_rank,2192,0.9000933556350592,0.11280763602456312,1.2406084226132161,1.8981396301262974,1.2449016565114728,-0.09061570079413217,31.452073254756733,0.022016451278329713,-0.007989949899569408,298,0,0.8822451519475707,1.2229115633922107,0.8,1.7924334495508032,2.6929651004097157
top2,d4ddf83c4a79e5ed8104,A,14,7d,2h,0.1,capped_rank,2192,0.9000933556350592,0.11280763602456312,1.2406084226132161,1.8981396301262974,1.2449016565114728,-0.09061570079413217,31.452073254756733,0.022016451278329713,-0.007989949899569408,298,0,0.8822451519475707,1.2229115633922107,0.8,1.7924334495508032,2.6929651004097157
top2,971dc03f8a8c566ec0b0,A,14,7d,4h,0.1,capped_rank,2192,0.9000933556350592,0.11280763602456312,1.2406084226132161,1.8981396301262974,1.2449016565114728,-0.09061570079413217,31.452073254756733,0.022016451278329713,-0.007989949899569408,298,0,0.8822451519475707,1.2229115633922107,0.8,1.7924334495508032,2.6929651004097157
top2,5aec6aad1fffbb2280be,A,14,7d,1d,0.1,capped_rank,2192,0.9000933556350592,0.11280763602456312,1.2406084226132161,1.8981396301262974,1.2449016565114728,-0.09061570079413217,31.452073254756733,0.022016451278329713,-0.007989949899569408,298,0,0.8822451519475707,1.2229115633922107,0.8,1.7924334495508032,2.6929651004097157
top2,d3fdb9d8fdf009d69ebd,A,14,7d,1h,0.15,capped_rank,2192,1.5640195378248944,0.16974546764977871,1.2608639967875075,1.9525779361857691,1.2702669407756721,-0.13362976095884682,45.83683754465643,0.03208578628125951,-0.015953761711830952,298,0,1.5289918072921154,1.2432915440526906,0.8,1.792433449550803,2.778351431212875
top2,e931c3df9620eb382466,A,14,7d,2h,0.15,capped_rank,2192,1.5640195378248944,0.16974546764977871,1.2608639967875075,1.9525779361857691,1.2702669407756721,-0.13362976095884682,45.83683754465643,0.03208578628125951,-0.015953761711830952,298,0,1.5289918072921154,1.2432915440526906,0.8,1.792433449550803,2.778351431212875
top2,9e0fda95bf00edee47aa,A,14,7d,4h,0.15,capped_rank,2192,1.5640195378248944,0.16974546764977871,1.2608639967875075,1.9525779361857691,1.2702669407756721,-0.13362976095884682,45.83683754465643,0.03208578628125951,-0.015953761711830952,298,0,1.5289918072921154,1.2432915440526906,0.8,1.792433449550803,2.778351431212875
top2,0824c66accceb1c09cf9,A,14,7d,1d,0.15,capped_rank,2192,1.5640195378248944,0.16974546764977871,1.2608639967875075,1.9525779361857691,1.2702669407756721,-0.13362976095884682,45.83683754465643,0.03208578628125951,-0.015953761711830952,298,0,1.5289918072921154,1.2432915440526906,0.8,1.792433449550803,2.778351431212875
top2,0ea9123536f076635114,A,60,7d,1h,0.2,capped_rank,2192,1.3897657131346706,0.15611672825477418,0.9749717730793087,1.3924926637020993,0.7416315550128392,-0.21050443066985125,27.8929744530325,0.019525082117122748,-0.039674690801480866,277,0,1.3698440251654151,0.9663484831001018,0.8,1.7480397333809365,3.08119412781944
top2,e1bec3aa585a0dafdd1a,A,60,7d,2h,0.2,capped_rank,2192,1.3897657131346706,0.15611672825477418,0.9749717730793087,1.3924926637020993,0.7416315550128392,-0.21050443066985125,27.8929744530325,0.019525082117122748,-0.039674690801480866,277,0,1.3698440251654151,0.9663484831001018,0.8,1.7480397333809365,3.08119412781944
top2,7bf63ce1c58baba085f6,A,60,7d,4h,0.2,capped_rank,2192,1.3897657131346706,0.15611672825477418,0.9749717730793087,1.3924926637020993,0.7416315550128392,-0.21050443066985125,27.8929744530325,0.019525082117122748,-0.039674690801480866,277,0,1.3698440251654151,0.9663484831001018,0.8,1.7480397333809365,3.08119412781944
top2,d12d6bdd4c8bda88f0b1,A,60,7d,1d,0.2,capped_rank,2192,1.3897657131346706,0.15611672825477418,0.9749717730793087,1.3924926637020993,0.7416315550128392,-0.21050443066985125,27.8929744530325,0.019525082117122748,-0.039674690801480866,277,0,1.3698440251654151,0.9663484831001018,0.8,1.7480397333809365,3.08119412781944
top2,3cb3fa2e940c01cdac1f,A,60,7d,1h,0.1,capped_rank,2192,0.5600595210698567,0.07686391456490838,0.943376721061302,1.3378203551904544,0.6974081155700406,-0.11021367954986028,14.473169340099945,0.010131218538069961,-0.01869754505121851,279,0,0.553299300732556,0.9345303536957297,0.8,1.7480397333809365,2.8493285959409778
top2,359a4478450783d0633c,A,60,7d,2h,0.1,capped_rank,2192,0.5600595210698567,0.07686391456490838,0.943376721061302,1.3378203551904544,0.6974081155700406,-0.11021367954986028,14.473169340099945,0.010131218538069961,-0.01869754505121851,279,0,0.553299300732556,0.9345303536957297,0.8,1.7480397333809365,2.8493285959409778
top2,2cf621ad355c2d555133,A,60,7d,4h,0.1,capped_rank,2192,0.5600595210698567,0.07686391456490838,0.943376721061302,1.3378203551904544,0.6974081155700406,-0.11021367954986028,14.473169340099945,0.010131218538069961,-0.01869754505121851,279,0,0.553299300732556,0.9345303536957297,0.8,1.7480397333809365,2.8493285959409778
top2,e2a6a6d511780cd345a2,A,60,7d,1d,0.1,capped_rank,2192,0.5600595210698567,0.07686391456490838,0.943376721061302,1.3378203551904544,0.6974081155700406,-0.11021367954986028,14.473169340099945,0.010131218538069961,-0.01869754505121851,279,0,0.553299300732556,0.9345303536957297,0.8,1.7480397333809365,2.8493285959409778
top2,ba2fe3e81ae119446b04,A,60,7d,1h,0.2,equal,2192,0.4710714196479302,0.06638362579372181,1.0631470683361581,1.6112760680924358,0.8064776000528727,-0.08231304352330393,10.822523023188714,0.0075757661162321,-0.018562945435730033,280,0,0.46630176954550473,1.0544053314506847,0.8,1.7480397333809365,2.936507161312677
top2,98b7db565be6f5c8c746,A,60,7d,2h,0.2,equal,2192,0.4710714196479302,0.06638362579372181,1.0631470683361581,1.6112760680924358,0.8064776000528727,-0.08231304352330393,10.822523023188714,0.0075757661162321,-0.018562945435730033,280,0,0.46630176954550473,1.0544053314506847,0.8,1.7480397333809365,2.936507161312677
top2,a0038d2ae1f85e640cd3,A,60,7d,4h,0.2,equal,2192,0.4710714196479302,0.06638362579372181,1.0631470683361581,1.6112760680924358,0.8064776000528727,-0.08231304352330393,10.822523023188714,0.0075757661162321,-0.018562945435730033,280,0,0.46630176954550473,1.0544053314506847,0.8,1.7480397333809365,2.936507161312677
top2,ac7aa412ea6dbf219b50,A,60,7d,1d,0.2,equal,2192,0.4710714196479302,0.06638362579372181,1.0631470683361581,1.6112760680924358,0.8064776000528727,-0.08231304352330393,10.822523023188714,0.0075757661162321,-0.018562945435730033,280,0,0.46630176954550473,1.0544053314506847,0.8,1.7480397333809365,2.936507161312677
top2,a59df6e71fbad4e7e84d,A,60,7d,1h,0.15,equal,2192,0.33866891302939806,0.04976704121255637,1.0631470683361581,1.6112760680924363,0.7991819729925673,-0.06227247722593365,8.116892267391535,0.005681824587174074,-0.013922209076797525,280,0,0.33541253024642104,1.0544053314506847,0.8,1.7480397333809365,2.8931932696081364
top2,cbe61e370bb8cd523582,A,60,7d,2h,0.15,equal,2192,0.33866891302939806,0.04976704121255637,1.0631470683361581,1.6112760680924363,0.7991819729925673,-0.06227247722593365,8.116892267391535,0.005681824587174074,-0.013922209076797525,280,0,0.33541253024642104,1.0544053314506847,0.8,1.7480397333809365,2.8931932696081364
top2,e57a0dbce4bf039ed67a,A,60,7d,4h,0.15,equal,2192,0.33866891302939806,0.04976704121255637,1.0631470683361581,1.6112760680924363,0.7991819729925673,-0.06227247722593365,8.116892267391535,0.005681824587174074,-0.013922209076797525,280,0,0.33541253024642104,1.0544053314506847,0.8,1.7480397333809365,2.8931932696081364
