scheme,cost_scenario,window,calibration_start,calibration_stop,oos_start,oos_stop,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
anchored_12m_3m,round_trip_0_05pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.14851771419109816,0.2970354283821963,1.2905670160346416,-1.0222613441671007,0.02295552937575196
anchored_12m_3m,round_trip_0_05pct,2,2021-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.018199021423260353,0.0418686457834596,9,-0.2394650733183421,-2.155185659865079,0.6451134152466418,-3.7412751865122873,-0.20869267527158186
anchored_12m_3m,round_trip_0_05pct,3,2021-01-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.0167624136641491,0.04083439712497367,6,0.36654256827590864,2.1992554096554517,2.2615113474694515,-1.2188537626180453,0.06666566839556021
anchored_12m_3m,round_trip_0_05pct,4,2021-01-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.016727192022051307,0.04074835215937162,3,-0.23508586519868677,-0.7052575955960603,0.6525877440268927,-1.0172860898260552,0.004132203178202509
anchored_12m_3m,round_trip_0_05pct,5,2021-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.015438276101015891,0.038793087499129984,1,1.3026386188805057,1.3026386188805057,,0.0,0.021219265956719635
anchored_12m_3m,round_trip_0_05pct,6,2021-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.014555020027725796,0.03706247553479495,0,,0,,0.0,0.0
anchored_12m_3m,round_trip_0_05pct,7,2021-01-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.013365522312688283,0.03517827499143888,1,-0.4660286866753261,-0.4660286866753261,0.0,-0.4660286866753261,-0.006634687319937105
anchored_12m_3m,round_trip_0_05pct,8,2021-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.011898233028001304,0.03324456199029916,3,0.5098233900253526,1.5294701700760578,2.463008413522581,-1.0454281437749577,0.023756969191062627
anchored_12m_3m,round_trip_0_05pct,9,2021-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.011221110225208664,0.03189387192757824,8,0.5480364517056026,4.3842916136448205,3.018324680807631,-1.1415110246333917,0.12538134877916352
anchored_12m_3m,round_trip_0_05pct,10,2021-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.011206124239028004,0.031254544727291826,9,0.016349777373050565,0.1471479963574551,1.0358706459500269,-3.0827262160169036,-0.015774256299852407
anchored_12m_3m,round_trip_0_05pct,11,2021-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.010889341083051063,0.03049836906673233,8,0.49073062605974294,3.9258450084779435,4.366858417266311,-1.0250859212388612,0.12835721389300803
anchored_12m_3m,round_trip_0_05pct,12,2021-01-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.010785108183154035,0.030009810387528656,7,0.28687347901477206,2.0081143531034042,1.9707154380808434,-1.045807880148176,0.03760191510707722
anchored_12m_3m,round_trip_0_10pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.13036876171552625,0.2607375234310525,1.2496236092744664,-1.0445226883342034,0.021943762097513586
anchored_12m_3m,round_trip_0_10pct,2,2021-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.018199021423260353,0.0418686457834596,9,-0.2560854426580797,-2.3047689839227172,0.6250294383767887,-3.816645480091711,-0.21234299105530663
anchored_12m_3m,round_trip_0_10pct,3,2021-01-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.0167624136641491,0.04083439712497367,6,0.34732326217805176,2.0839395730683106,2.1547863341735596,-1.2619487844937831,0.06350276388970166
anchored_12m_3m,round_trip_0_10pct,4,2021-01-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.016727192022051307,0.04074835215937162,3,-0.24794950817515105,-0.7438485245254531,0.6389192964201464,-1.0345721796521081,0.002626822220108016
anchored_12m_3m,round_trip_0_10pct,5,2021-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.015438276101015891,0.038793087499129984,1,1.2719439044276715,1.2719439044276715,,0.0,0.020719265956719468
anchored_12m_3m,round_trip_0_10pct,6,2021-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.014555020027725796,0.03706247553479495,0,,0,,0.0,0.0
anchored_12m_3m,round_trip_0_10pct,7,2021-01-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.013365522312688283,0.03517827499143888,1,-0.5011493083566916,-0.5011493083566916,0.0,-0.5011493083566916,-0.00713468731993705
anchored_12m_3m,round_trip_0_10pct,8,2021-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.011898233028001304,0.03324456199029916,3,0.47490907923752035,1.424727237712561,2.3169609995172116,-1.0818294833596864,0.022233868082754737
anchored_12m_3m,round_trip_0_10pct,9,2021-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.011221110225208664,0.03189387192757824,8,0.528736481248476,4.229891849987808,2.8994128723429218,-1.1706051143772394,0.12095170762018914
anchored_12m_3m,round_trip_0_10pct,10,2021-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.011206124239028004,0.031254544727291826,9,-0.010234031014767676,-0.09210627913290909,0.9779922213218415,-3.15181276451659,-0.02020370823129891
anchored_12m_3m,round_trip_0_10pct,11,2021-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.010889341083051063,0.03049836906673233,8,0.4712260896879415,3.769808717503532,4.053605646810373,-1.0501718424777255,0.12391824019541642
anchored_12m_3m,round_trip_0_10pct,12,2021-01-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.010785108183154035,0.030009810387528656,7,0.26478644875520835,1.8535051412864583,1.8713807729667429,-1.0813151748974055,0.03399404721377497
anchored_12m_3m,round_trip_0_12pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.12310918072529753,0.24621836145059506,1.233730774536058,-1.0534272260010444,0.021539195186218052
anchored_12m_3m,round_trip_0_12pct,2,2021-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.018199021423260353,0.0418686457834596,9,-0.2627335903939747,-2.364602313545772,0.6171299661523859,-3.8467935975234804,-0.21379892205440099
